Date,DAU
14/08/2023,33428
15/08/2023,38797
16/08/2023,36429
17/08/2023,38328
18/08/2023,27193
19/08/2023,24299
20/08/2023,26203
21/08/2023,26266
22/08/2023,20960
23/08/2023,25562
24/08/2023,26111
25/08/2023,23421
26/08/2023,26196
27/08/2023,26932
28/08/2023,23573
29/08/2023,26928
30/08/2023,45333
31/08/2023,34595
01/09/2023,36729
02/09/2023,29822
03/09/2023,29195
04/09/2023,28841
05/09/2023,39714
06/09/2023,57835
07/09/2023,49257
08/09/2023,34442
09/09/2023,24157
10/09/2023,28074
11/09/2023,25070
12/09/2023,25688
13/09/2023,22907
14/09/2023,28143
15/09/2023,27802
16/09/2023,21233
17/09/2023,21429
18/09/2023,20581
19/09/2023,20733
20/09/2023,23075
21/09/2023,28235
22/09/2023,27771
23/09/2023,24862
24/09/2023,22247
25/09/2023,20431
26/09/2023,20287
27/09/2023,24179
28/09/2023,26185
29/09/2023,27371
30/09/2023,25955
01/10/2023,22046
02/10/2023,21090
03/10/2023,20345
04/10/2023,22748
05/10/2023,29786
06/10/2023,29584
07/10/2023,24295
08/10/2023,21462
09/10/2023,20980
10/10/2023,22417
11/10/2023,22671
12/10/2023,27557
13/10/2023,28553
14/10/2023,25150
15/10/2023,21492
16/10/2023,20599
17/10/2023,21687
18/10/2023,20402
19/10/2023,25721
20/10/2023,24114
21/10/2023,20873
22/10/2023,19442
23/10/2023,17051
24/10/2023,15762
25/10/2023,18704
26/10/2023,18368
27/10/2023,20053
28/10/2023,18993
29/10/2023,17768
30/10/2023,15063
31/10/2023,18246
01/11/2023,18581
02/11/2023,21524
03/11/2023,21122
04/11/2023,21718
05/11/2023,19397
06/11/2023,15533
07/11/2023,16230
08/11/2023,16815
09/11/2023,20126
10/11/2023,19203
11/11/2023,20806
12/11/2023,19640
13/11/2023,15435
14/11/2023,18774
15/11/2023,19501
16/11/2023,21711
17/11/2023,20345
18/11/2023,20391
19/11/2023,19076
20/11/2023,12971
21/11/2023,11952
22/11/2023,13191
23/11/2023,17271
24/11/2023,17531
25/11/2023,17638
26/11/2023,16044
27/11/2023,15517
28/11/2023,13959
29/11/2023,18018
30/11/2023,21323
01/12/2023,15123
02/12/2023,17090
03/12/2023,14888
04/12/2023,11122
05/12/2023,11826
06/12/2023,17866
07/12/2023,15365
08/12/2023,14959
09/12/2023,22536
10/12/2023,22827
11/12/2023,19020
12/12/2023,15783
13/12/2023,17522
14/12/2023,13405
15/12/2023,12892
16/12/2023,12061
17/12/2023,16108
18/12/2023,11475
19/12/2023,10966
20/12/2023,12474
21/12/2023,18011
22/12/2023,18832
23/12/2023,28695
24/12/2023,18830
25/12/2023,20129
26/12/2023,22553
27/12/2023,19992
28/12/2023,18100
29/12/2023,18831
30/12/2023,20599
31/12/2023,23563
01/01/2024,23359
02/01/2024,19491
03/01/2024,19136
04/01/2024,28213
05/01/2024,23351
06/01/2024,23897
07/01/2024,17549
08/01/2024,17385
09/01/2024,16644
10/01/2024,13784
11/01/2024,18713
12/01/2024,18932
13/01/2024,26814
14/01/2024,13468
15/01/2024,16803
16/01/2024,14039
17/01/2024,13006
18/01/2024,16457
19/01/2024,18660
20/01/2024,27674
21/01/2024,24335
22/01/2024,18818
23/01/2024,23828
24/01/2024,19735
25/01/2024,23167
26/01/2024,18173
27/01/2024,21527
28/01/2024,18912
29/01/2024,18782
30/01/2024,16558
31/01/2024,21874
01/02/2024,21425
02/02/2024,23965
03/02/2024,26060
04/02/2024,22546
05/02/2024,28646
06/02/2024,19765
07/02/2024,21067
08/02/2024,17111
09/02/2024,15901
10/02/2024,26259
11/02/2024,30011
12/02/2024,26296
13/02/2024,34296
14/02/2024,27149
