Date,TVL
31/08/2021,3119.22217
09/01/2021,473416.8399
09/02/2021,8167686.102
09/03/2021,12221890.37
09/04/2021,12538201.03
09/05/2021,14102394.49
09/06/2021,15586949.46
09/07/2021,26672049.79
09/08/2021,34848322.11
09/09/2021,37349652.53
09/10/2021,61929474.65
09/11/2021,184820228.2
09/12/2021,1609246339.0
13/09/2021,1496765444.0
14/09/2021,1701485929.0
15/09/2021,1141550560.0
16/09/2021,474742882.3
17/09/2021,394866257.7
18/09/2021,635260873.5
19/09/2021,686148193.2
20/09/2021,652173161.2
21/09/2021,596876975.5
22/09/2021,675793373.5
23/09/2021,719329554.4
24/09/2021,735433560.8
25/09/2021,814279000.8
26/09/2021,863647733.8
27/09/2021,901173395.1
28/09/2021,883848047.0
29/09/2021,882789786.5
30/09/2021,915215232.7
10/01/2021,962975143.5
10/02/2021,989702217.7
10/03/2021,1044437935.0
10/04/2021,1045914932.0
10/05/2021,1132347104.0
10/06/2021,1150817530.0
10/07/2021,1199368614.0
10/08/2021,1201795793.0
10/09/2021,1199802277.0
10/10/2021,1390288598.0
10/11/2021,1375663645.0
10/12/2021,1216838842.0
13/10/2021,1518997504.0
14/10/2021,1580978412.0
15/10/2021,1622751319.0
16/10/2021,1625516254.0
17/10/2021,1651879281.0
18/10/2021,1667693402.0
19/10/2021,1703972517.0
20/10/2021,1749180587.0
21/10/2021,1824881363.0
22/10/2021,1796602197.0
23/10/2021,1766646909.0
24/10/2021,1837217797.0
25/10/2021,1857532965.0
26/10/2021,1894455100.0
27/10/2021,2176320366.0
28/10/2021,2164550434.0
29/10/2021,2288744176.0
30/10/2021,1933250508.0
31/10/2021,2285238945.0
11/01/2021,2400358288.0
11/02/2021,2475174394.0
11/03/2021,2560161149.0
11/04/2021,2562925857.0
11/05/2021,2549759402.0
11/06/2021,2537737205.0
11/07/2021,2466899936.0
11/08/2021,2543672465.0
11/09/2021,2616888291.0
11/10/2021,2576853792.0
11/11/2021,2512145299.0
11/12/2021,2568017511.0
13/11/2021,2530071225.0
14/11/2021,2503027330.0
15/11/2021,2523548604.0
16/11/2021,2451291339.0
17/11/2021,2304506399.0
18/11/2021,2318333496.0
19/11/2021,2191127947.0
20/11/2021,2245255493.0
21/11/2021,2281002433.0
22/11/2021,2262171188.0
23/11/2021,2149008191.0
24/11/2021,2203019310.0
25/11/2021,2198493593.0
26/11/2021,2225597222.0
27/11/2021,2007162300.0
28/11/2021,1987586191.0
29/11/2021,1903808369.0
30/11/2021,1925878416.0
12/01/2021,1958969804.0
12/02/2021,1915817508.0
12/03/2021,1889092040.0
12/04/2021,1746363683.0
12/05/2021,1704319093.0
12/06/2021,1747584374.0
12/07/2021,1796870490.0
12/08/2021,1811192296.0
12/09/2021,1885602614.0
12/10/2021,1768380738.0
12/11/2021,1719487231.0
12/12/2021,1767600324.0
13/12/2021,1783334646.0
14/12/2021,1685780573.0
15/12/2021,1622874951.0
16/12/2021,1690719007.0
17/12/2021,1664641767.0
18/12/2021,1638691677.0
19/12/2021,1667913250.0
20/12/2021,1661192271.0
21/12/2021,1695045462.0
22/12/2021,1737734353.0
23/12/2021,1739727473.0
24/12/2021,1799180245.0
25/12/2021,1797159279.0
26/12/2021,1807305475.0
27/12/2021,1809933892.0
