Date,TVL
15/09/2023,4.016568244
16/09/2023,15.60644981
17/09/2023,36.08933271
18/09/2023,36.07343643
19/09/2023,56.89887452
20/09/2023,68.47635436
21/09/2023,75.06242437
22/09/2023,97.98228379
23/09/2023,116.8618674
24/09/2023,43526.15388
25/09/2023,259662.8122
26/09/2023,266195.9593
27/09/2023,273837.8197
28/09/2023,280022.578
29/09/2023,1282485.385
30/09/2023,1334268.631
01/10/2023,1341436.365
02/10/2023,1350713.245
03/10/2023,1351564.679
04/10/2023,1440803.703
05/10/2023,4729781.104
06/10/2023,4780524.067
07/10/2023,4845004.448
08/10/2023,4964203.229
09/10/2023,5016693.913
10/10/2023,4872368.609
11/10/2023,4866977.437
12/10/2023,7392358.04
13/10/2023,7350518.443
14/10/2023,7391160.595
15/10/2023,7398197.304
16/10/2023,7447267.55
17/10/2023,7586994.687
18/10/2023,7638109.156
19/10/2023,7643830.312
20/10/2023,7707908.712
21/10/2023,7820122.65
22/10/2023,7942478.815
23/10/2023,8042642.32
24/10/2023,8308347.409
25/10/2023,8313658.702
26/10/2023,8334560.214
27/10/2023,8504672.107
28/10/2023,8723184.081
29/10/2023,8729995.437
30/10/2023,8808965.645
31/10/2023,9807852.336
01/11/2023,8964457.769
02/11/2023,9237987.394
03/11/2023,9714726.734
04/11/2023,9857840.263
05/11/2023,10016728.61
06/11/2023,10069153.53
07/11/2023,10712590.37
08/11/2023,11055807.57
09/11/2023,10923563.86
10/11/2023,13241612.17
11/11/2023,12476165.92
12/11/2023,13288121.55
13/11/2023,13292377.61
14/11/2023,13258072.4
15/11/2023,17658377.1
16/11/2023,17880323.37
17/11/2023,17537790.49
18/11/2023,18457776.65
19/11/2023,18449819.19
20/11/2023,18643041.42
21/11/2023,18732085.95
22/11/2023,18389247.6
23/11/2023,18842175.16
24/11/2023,18981719.46
25/11/2023,19114837.84
26/11/2023,19121980.99
27/11/2023,19574503.51
28/11/2023,18574322.16
29/11/2023,19164448.27
30/11/2023,24442417.13
01/12/2023,25077728.63
02/12/2023,25541946.05
03/12/2023,26149285.86
04/12/2023,26511104.9
05/12/2023,26790959.14
06/12/2023,27400191.3
07/12/2023,27202650.24
08/12/2023,27513022.7
09/12/2023,27877670.95
10/12/2023,27718459.53
11/12/2023,27956365.18
12/12/2023,27063804.06
13/12/2023,26097194.77
14/12/2023,15077916.59
15/12/2023,15054455.37
16/12/2023,14463296.75
17/12/2023,17035290.97
18/12/2023,18406785.66
19/12/2023,22019944.99
20/12/2023,41051685.15
21/12/2023,43366029.17
22/12/2023,48855109.73
23/12/2023,74537361.06
24/12/2023,78948502.53
25/12/2023,103746109.8
26/12/2023,115989361.6
27/12/2023,130603247.3
28/12/2023,161276822.9
29/12/2023,197972894.6
30/12/2023,231100996.7
31/12/2023,259113863.1
01/01/2024,279629565.7
02/01/2024,315452803.9
03/01/2024,328919386.7
04/01/2024,318150296.5
05/01/2024,333920696.9
06/01/2024,348089977.3
07/01/2024,353743285.0
08/01/2024,357713069.1
09/01/2024,369123097.6
10/01/2024,382612069.8
11/01/2024,389002009.5
12/01/2024,424975700.3
13/01/2024,401107828.4
14/01/2024,411780571.0
15/01/2024,413758236.1
16/01/2024,410064905.5
17/01/2024,425228698.3
18/01/2024,434348725.2
19/01/2024,415072125.2
20/01/2024,428984388.1
21/01/2024,429132604.6
22/01/2024,443144045.1
23/01/2024,438579079.2
24/01/2024,427197772.3
25/01/2024,430572266.6
26/01/2024,432478227.5
27/01/2024,446565132.0
28/01/2024,448969850.8
29/01/2024,446052530.5
30/01/2024,469724458.6
31/01/2024,472692992.1
01/02/2024,461956996.3
02/02/2024,465535790.3
03/02/2024,466384859.3
04/02/2024,463348349.2
05/02/2024,460696547.3
06/02/2024,463039591.6
07/02/2024,475663782.5
08/02/2024,484720361.2
09/02/2024,480314756.2
10/02/2024,490417040.7
11/02/2024,490862193.9
12/02/2024,492964755.7
13/02/2024,516608511.0
14/02/2024,508666386.1
15/02/2024,528047465.9
