Date,TVL
14/07/2021,68353955.53
15/07/2021,62829548.17
16/07/2021,58726311.62
17/07/2021,57839775.52
18/07/2021,58169034.29
19/07/2021,54851270.48
20/07/2021,51021473.14
21/07/2021,55935129.53
22/07/2021,58054504.81
23/07/2021,58914814.25
24/07/2021,57906598.69
25/07/2021,56639531.89
26/07/2021,64992621.05
27/07/2021,63056037.06
28/07/2021,62986828.93
29/07/2021,67912510.0
30/07/2021,65930042.72
31/07/2021,70431242.29
01/08/2021,70021404.27
02/08/2021,66792228.35
03/08/2021,64233597.72
04/08/2021,67709113.37
05/08/2021,74333323.61
06/08/2021,72062633.85
07/08/2021,74705534.14
08/08/2021,69418081.83
09/08/2021,72034381.94
10/08/2021,72511363.46
11/08/2021,75861302.44
12/08/2021,73297284.91
13/08/2021,86392555.87
14/08/2021,93255613.72
15/08/2021,93153512.42
16/08/2021,89266923.3
17/08/2021,83887091.37
18/08/2021,88497201.28
19/08/2021,94449280.42
20/08/2021,97061223.93
21/08/2021,112362880.9
22/08/2021,113077183.1
23/08/2021,117079603.0
24/08/2021,112349617.1
25/08/2021,103579536.7
26/08/2021,96265505.01
27/08/2021,102522071.3
28/08/2021,100454233.5
29/08/2021,98288836.92
30/08/2021,94243915.91
31/08/2021,96977864.55
01/09/2021,106135524.5
02/09/2021,111059160.4
03/09/2021,107763679.3
04/09/2021,108751209.9
05/09/2021,114056166.9
06/09/2021,124063700.6
07/09/2021,101894333.1
08/09/2021,105969065.0
09/09/2021,109694730.3
10/09/2021,102469399.8
11/09/2021,106005604.3
12/09/2021,109937137.7
13/09/2021,128311501.7
14/09/2021,133013341.9
15/09/2021,127312135.5
16/09/2021,140107136.9
17/09/2021,140514481.5
18/09/2021,122806150.5
19/09/2021,121744571.1
20/09/2021,104117484.6
21/09/2021,96430137.96
22/09/2021,106270845.4
23/09/2021,107523127.9
24/09/2021,106367782.2
25/09/2021,103796058.3
26/09/2021,105930076.6
27/09/2021,102257730.8
28/09/2021,99772573.44
29/09/2021,98555845.28
30/09/2021,101105147.5
01/10/2021,103348046.2
02/10/2021,106707067.6
03/10/2021,107803160.3
04/10/2021,112981727.7
05/10/2021,112936494.6
06/10/2021,113898017.7
07/10/2021,113390655.8
08/10/2021,113934477.2
09/10/2021,112502613.4
10/10/2021,113218265.5
11/10/2021,109611066.1
12/10/2021,108176740.0
13/10/2021,107296007.3
14/10/2021,108015099.2
15/10/2021,96426624.98
16/10/2021,98317207.41
17/10/2021,99205315.19
18/10/2021,99690494.24
19/10/2021,100318466.6
20/10/2021,103258460.0
21/10/2021,107746659.3
22/10/2021,106723830.9
23/10/2021,106623508.3
24/10/2021,108564600.5
25/10/2021,107684932.6
26/10/2021,109905320.8
27/10/2021,111283184.3
28/10/2021,105123945.9
29/10/2021,112688864.7
30/10/2021,257845557.3
31/10/2021,253685253.2
01/11/2021,257673670.4
02/11/2021,259880961.5
03/11/2021,268609423.2
04/11/2021,279958403.9
05/11/2021,287406772.6
06/11/2021,289804525.2
07/11/2021,287159698.5
08/11/2021,292670698.7
09/11/2021,297522284.4
10/11/2021,299837545.0
11/11/2021,279890940.2
12/11/2021,290400254.8
13/11/2021,321704588.2
14/11/2021,328374317.4
15/11/2021,334247491.7
16/11/2021,326753583.3
17/11/2021,306706023.6
18/11/2021,320270848.3
19/11/2021,303897851.8
20/11/2021,345936121.0
21/11/2021,346023738.0
22/11/2021,340538125.0
23/11/2021,342567825.5
24/11/2021,365390136.9
25/11/2021,359557423.8
26/11/2021,364947030.0
27/11/2021,344447017.8
28/11/2021,346932452.1
29/11/2021,352005052.4
30/11/2021,362624371.1
01/12/2021,366145199.4
02/12/2021,354521257.8
03/12/2021,350567661.5
04/12/2021,330869890.3
05/12/2021,313457959.3
06/12/2021,298651171.8
07/12/2021,311906420.5
08/12/2021,309018276.0
09/12/2021,319632648.9
10/12/2021,302669992.3
11/12/2021,295716621.3
12/12/2021,308149371.4
13/12/2021,307920547.0
14/12/2021,286799187.4
15/12/2021,290645526.4
16/12/2021,300754519.5
