Date,TVL
17/08/2023,158640.4247
18/08/2023,657660.8494
19/08/2023,3154693.938
20/08/2023,3176774.173
21/08/2023,3191445.923
22/08/2023,3200780.582
23/08/2023,3204945.305
24/08/2023,3203681.809
25/08/2023,3201381.924
26/08/2023,3219715.029
27/08/2023,3216182.52
28/08/2023,3213506.103
29/08/2023,86285.49221
30/08/2023,93354.57594
31/08/2023,3216087.456
01/09/2023,3236085.336
02/09/2023,3241864.151
03/09/2023,3228897.466
04/09/2023,3226819.559
05/09/2023,3220792.947
06/09/2023,3221384.572
07/09/2023,3224749.705
08/09/2023,3235875.028
09/09/2023,3225107.402
10/09/2023,3224995.174
11/09/2023,3209483.239
12/09/2023,3207314.317
13/09/2023,3211384.37
14/09/2023,3209094.381
15/09/2023,3208070.087
16/09/2023,3207916.68
17/09/2023,3221179.006
18/09/2023,3214075.763
19/09/2023,3221576.204
20/09/2023,3225118.359
21/09/2023,3225095.622
22/09/2023,3220918.047
23/09/2023,3218897.341
24/09/2023,3216625.701
25/09/2023,3212485.297
26/09/2023,3215464.828
27/09/2023,3215099.389
28/09/2023,3210233.273
29/09/2023,3182922.121
30/09/2023,3183523.931
01/10/2023,3182091.449
02/10/2023,3174618.863
03/10/2023,3164523.367
04/10/2023,3164676.717
05/10/2023,3162692.419
06/10/2023,3168801.525
07/10/2023,3168687.603
08/10/2023,3171556.658
09/10/2023,3166732.003
10/10/2023,3160750.869
11/10/2023,3157112.796
12/10/2023,3154707.974
13/10/2023,3155483.503
14/10/2023,3156824.235
15/10/2023,3154286.154
16/10/2023,3157827.921
17/10/2023,3155406.907
18/10/2023,3149633.848
19/10/2023,3154854.971
20/10/2023,3151818.23
21/10/2023,3151169.286
22/10/2023,3140320.904
23/10/2023,3139274.599
24/10/2023,3146673.806
25/10/2023,3141297.086
26/10/2023,3142194.244
27/10/2023,3139448.203
28/10/2023,3135671.747
29/10/2023,3138133.59
30/10/2023,3141791.743
31/10/2023,3142732.66
01/11/2023,3142486.636
02/11/2023,3139677.811
03/11/2023,3141472.192
04/11/2023,3142576.698
05/11/2023,3142495.707
06/11/2023,3144547.584
07/11/2023,3139218.868
08/11/2023,3139220.883
09/11/2023,3140096.99
10/11/2023,3140718.752
11/11/2023,3143415.897
12/11/2023,3146788.427
13/11/2023,3147920.485
14/11/2023,3156682.153
15/11/2023,3157618.021
16/11/2023,48548.342
17/11/2023,3171481.841
18/11/2023,3413077.208
19/11/2023,3404387.036
20/11/2023,3420732.206
21/11/2023,3189917.483
22/11/2023,3192805.014
23/11/2023,3205604.556
24/11/2023,3222509.754
25/11/2023,3247469.698
26/11/2023,3236007.627
27/11/2023,3235312.904
28/11/2023,3235502.944
29/11/2023,3281682.663
30/11/2023,3264603.985
01/12/2023,3267657.903
02/12/2023,3286970.778
03/12/2023,3300161.511
04/12/2023,3299680.952
05/12/2023,3310694.799
06/12/2023,3363947.833
07/12/2023,3336187.754
08/12/2023,3353279.467
09/12/2023,3352679.553
10/12/2023,3354286.082
11/12/2023,3354743.279
12/12/2023,3333819.716
13/12/2023,3320299.097
