Date,TVL
08/12/2022,26504.80919
12/09/2022,334555.9188
12/10/2022,336560.8727
12/11/2022,363042.4002
12/12/2022,368612.0663
13/12/2022,377360.6171
14/12/2022,403456.4881
15/12/2022,411056.3384
16/12/2022,445623.7751
17/12/2022,435070.2004
18/12/2022,702400.8207
19/12/2022,708654.1324
20/12/2022,707206.5258
21/12/2022,723714.7965
22/12/2022,739139.9187
23/12/2022,741583.8989
24/12/2022,758898.2107
25/12/2022,770074.5372
26/12/2022,782221.9386
27/12/2022,794358.9684
28/12/2022,796292.1038
29/12/2022,796569.2603
30/12/2022,806844.4816
31/12/2022,796080.1577
01/01/2023,799915.4223
01/02/2023,800224.683
01/03/2023,810613.7734
01/04/2023,814052.7372
01/05/2023,834891.7739
01/06/2023,856603.0217
01/07/2023,880733.7473
01/08/2023,892703.7058
01/09/2023,913181.0874
01/10/2023,919548.8385
01/11/2023,922881.9486
01/12/2023,958154.9643
13/01/2023,954759.6247
14/01/2023,1008158.564
15/01/2023,1005465.195
16/01/2023,1024356.893
17/01/2023,1015921.628
18/01/2023,1022032.105
19/01/2023,1011222.023
20/01/2023,1023452.643
21/01/2023,1054764.537
22/01/2023,1052027.063
23/01/2023,1062234.781
24/01/2023,1079370.068
25/01/2023,1013336.284
26/01/2023,1048657.307
27/01/2023,1040118.427
28/01/2023,1049104.256
29/01/2023,1055900.509
30/01/2023,1078312.817
31/01/2023,1070629.458
02/01/2023,1083514.409
02/02/2023,1117257.239
02/03/2023,1115781.462
02/04/2023,1129999.857
02/05/2023,1145088.034
02/06/2023,1159372.523
02/07/2023,1174373.337
02/08/2023,1205610.016
02/09/2023,1197943.314
02/10/2023,1191567.076
02/11/2023,1172179.058
02/12/2023,1217026.339
13/02/2023,1252903.909
14/02/2023,1196536.894
15/02/2023,1300067.537
16/02/2023,1359455.4
17/02/2023,1346095.68
18/02/2023,1365272.685
19/02/2023,1381156.116
20/02/2023,1382995.344
21/02/2023,1387965.916
22/02/2023,1380266.23
23/02/2023,1387914.804
