Date,TVL
27/05/2024,518368.6512
28/05/2024,679372.0921
29/05/2024,618122.8412
30/05/2024,1769962.458
31/05/2024,1977804.717
01/06/2024,1998735.514
02/06/2024,1256846.852
03/06/2024,1257549.273
04/06/2024,4299559.875
05/06/2024,4320602.639
06/06/2024,3866819.426
07/06/2024,9415654.506
08/06/2024,9776406.183
09/06/2024,12417867.36
10/06/2024,12545599.79
11/06/2024,12519312.31
12/06/2024,12143827.71
13/06/2024,12669302.61
14/06/2024,12830521.46
15/06/2024,12964357.12
16/06/2024,11921129.37
17/06/2024,11955196.16
18/06/2024,12033720.24
19/06/2024,11971963.96
20/06/2024,12656859.9
21/06/2024,11365632.98
22/06/2024,12719482.64
23/06/2024,12980693.86
24/06/2024,11450346.16
25/06/2024,13101162.99
26/06/2024,13264778.43
27/06/2024,13407194.33
28/06/2024,13762290.27
29/06/2024,14079120.19
30/06/2024,14048190.55
01/07/2024,14343938.07
02/07/2024,14825824.21
03/07/2024,14470431.2
04/07/2024,14732269.82
05/07/2024,13572249.42
06/07/2024,13301905.38
07/07/2024,13321195.83
08/07/2024,13123341.54
09/07/2024,13380882.61
10/07/2024,13871854.03
11/07/2024,14141604.08
12/07/2024,14121997.82
13/07/2024,14336114.74
14/07/2024,14457301.87
15/07/2024,14792767.85
16/07/2024,15258668.53
17/07/2024,15409990.13
18/07/2024,15638035.44
19/07/2024,15600288.3
20/07/2024,15964496.19
21/07/2024,15954509.0
22/07/2024,15890521.31
23/07/2024,16279080.14
24/07/2024,16068720.19
25/07/2024,16185475.75
26/07/2024,15259784.18
27/07/2024,15435158.39
28/07/2024,15403718.64
29/07/2024,15083552.85
30/07/2024,15058112.12
31/07/2024,15403040.7
01/08/2024,15249980.77
02/08/2024,15278582.17
03/08/2024,14521244.85
04/08/2024,14267827.62
05/08/2024,14123623.26
06/08/2024,13179648.95
07/08/2024,13426685.99
08/08/2024,12759302.61
09/08/2024,13784293.99
10/08/2024,14024221.94
11/08/2024,14009246.24
12/08/2024,13901843.99
13/08/2024,14345106.35
14/08/2024,14511495.54
15/08/2024,13935024.7
16/08/2024,14029650.14
17/08/2024,13194935.11
18/08/2024,13373999.21
19/08/2024,13266080.43
20/08/2024,14329421.05
