Date,TVL
30/01/2024,1153242.241
31/01/2024,1497272.298
01/02/2024,2308624.168
02/02/2024,2359736.99
03/02/2024,2787056.393
04/02/2024,3557823.447
05/02/2024,3843814.461
06/02/2024,3932681.467
07/02/2024,4121886.465
08/02/2024,4146444.286
09/02/2024,4167260.111
10/02/2024,4568381.255
11/02/2024,4449628.87
12/02/2024,6295210.137
13/02/2024,9157270.627
14/02/2024,10639062.82
15/02/2024,17794645.59
16/02/2024,17886301.35
17/02/2024,19337702.02
18/02/2024,21943618.34
19/02/2024,26229661.83
20/02/2024,28403772.51
21/02/2024,32163454.44
22/02/2024,36733534.67
23/02/2024,35282315.98
24/02/2024,36527596.58
25/02/2024,37963733.08
26/02/2024,39899922.89
27/02/2024,37689743.37
28/02/2024,40308253.79
29/02/2024,1035906.697
01/03/2024,1153242.241
02/03/2024,1497272.298
03/03/2024,2308624.168
04/03/2024,2359736.99
05/03/2024,2787056.393
06/03/2024,3557823.447
07/03/2024,3843814.461
08/03/2024,3932681.467
09/03/2024,4121886.465
10/03/2024,4146444.286
11/03/2024,4167260.111
12/03/2024,4568381.255
13/03/2024,4449628.87
14/03/2024,6295210.137
15/03/2024,9157270.627
16/03/2024,10639062.82
17/03/2024,17794645.59
18/03/2024,17886301.35
19/03/2024,19337702.02
20/03/2024,21943618.34
21/03/2024,26229661.83
22/03/2024,28403772.51
23/03/2024,32163454.44
24/03/2024,36733534.67
25/03/2024,35282315.98
26/03/2024,36527596.58
27/03/2024,37963733.08
28/03/2024,39899922.89
29/03/2024,37689743.37
30/03/2024,40308253.79
31/03/2024,41664803.11
01/04/2024,40974094.99
02/04/2024,37797435.53
03/04/2024,34212085.26
04/04/2024,32868051.28
05/04/2024,34782103.34
06/04/2024,32974765.84
07/04/2024,32972394.52
08/04/2024,33598709.86
09/04/2024,35517834.67
10/04/2024,31268623.77
11/04/2024,30161606.35
12/04/2024,28926276.33
13/04/2024,24641934.1
14/04/2024,22154985.6
15/04/2024,24859855.75
16/04/2024,23835992.31
17/04/2024,23424512.75
18/04/2024,23526842.26
19/04/2024,23612054.53
20/04/2024,23817605.23
21/04/2024,25263236.6
22/04/2024,24776129.53
23/04/2024,25688240.14
24/04/2024,25579696.83
25/04/2024,24711711.77
26/04/2024,24592884.68
27/04/2024,24208378.64
28/04/2024,23810385.1
29/04/2024,24213431.46
30/04/2024,23607491.97
01/05/2024,22975863.37
02/05/2024,23760131.69
03/05/2024,24692658.39
04/05/2024,25345506.26
05/05/2024,25400418.58
06/05/2024,25380077.86
07/05/2024,24929903.32
08/05/2024,24484004.51
09/05/2024,24154572.65
10/05/2024,24439389.49
11/05/2024,23550412.55
12/05/2024,23333831.8
13/05/2024,23280357.07
14/05/2024,22782148.83
15/05/2024,21781118.99
16/05/2024,23734340.44
17/05/2024,23227320.83
18/05/2024,24093982.51
19/05/2024,24140860.86
20/05/2024,23094675.85
21/05/2024,24946333.61
22/05/2024,25402638.39
23/05/2024,25152064.15
24/05/2024,23409391.51
25/05/2024,23309757.96
26/05/2024,23641196.75
27/05/2024,23627715.52
28/05/2024,24940056.73
29/05/2024,24496342.09
30/05/2024,23807033.28
31/05/2024,24020804.61
01/06/2024,23920734.46
02/06/2024,23433556.03
03/06/2024,23028622.49
04/06/2024,23120567.79
05/06/2024,24085988.01
06/06/2024,24477941.74
07/06/2024,24424140.47
08/06/2024,23269865.28
09/06/2024,22289543.72
10/06/2024,23375682.98
11/06/2024,22267206.94
12/06/2024,21854143.71
13/06/2024,23852617.8
14/06/2024,23543949.28
15/06/2024,23212461.05
16/06/2024,23977938.34
17/06/2024,24376041.62
18/06/2024,24016706.33
19/06/2024,22317023.44
20/06/2024,23580078.58
21/06/2024,24031354.46
22/06/2024,24677813.29
23/06/2024,24351235.57
24/06/2024,24610614.67
25/06/2024,25001538.39
26/06/2024,28077589.18
27/06/2024,29362899.26
28/06/2024,29872231.51
29/06/2024,29420936.68
30/06/2024,29698891.4
01/07/2024,29876244.45
02/07/2024,30429004.69
03/07/2024,30583381.05
04/07/2024,29440443.5
05/07/2024,28029856.6
06/07/2024,26037419.66
07/07/2024,28243274.04
08/07/2024,27216695.59
09/07/2024,28155443.48
10/07/2024,29160767.9
11/07/2024,29982715.93
12/07/2024,30252250.59
13/07/2024,30559427.12
14/07/2024,31162841.77
15/07/2024,32530615.72
16/07/2024,33352213.55
17/07/2024,34053927.93
18/07/2024,34280757.02
19/07/2024,33385974.72
20/07/2024,35465551.23
21/07/2024,35760749.55
22/07/2024,36701461.02
23/07/2024,35743803.87
24/07/2024,35979755.12
25/07/2024,35171562.95
26/07/2024,33328258.0
27/07/2024,34613567.21
28/07/2024,35384136.89
29/07/2024,34132208.13
30/07/2024,33978301.92
31/07/2024,33267131.58
01/08/2024,32944815.1
02/08/2024,32545410.39
03/08/2024,32118319.31
04/08/2024,30477690.02
05/08/2024,30357565.76
06/08/2024,26875847.76
07/08/2024,27256523.47
08/08/2024,26677166.83
09/08/2024,28310718.92
10/08/2024,29322406.31
11/08/2024,30918734.0
12/08/2024,28719924.89
13/08/2024,30027191.25
14/08/2024,31913829.33
15/08/2024,29812114.49
