Date,TVL
04/12/2021,1583513.001
12/05/2021,2115079.99
12/06/2021,2340348.071
12/07/2021,2526454.93
12/08/2021,2944292.536
12/09/2021,3109650.938
12/10/2021,3324790.67
12/11/2021,3457690.006
12/12/2021,3525757.401
13/12/2021,3541463.999
14/12/2021,3787516.841
15/12/2021,3823580.964
16/12/2021,3989066.934
17/12/2021,4024773.23
18/12/2021,3973845.537
19/12/2021,4031165.582
20/12/2021,3962866.851
21/12/2021,4072645.048
22/12/2021,4490736.285
23/12/2021,4347702.672
24/12/2021,4479409.192
25/12/2021,4521552.332
26/12/2021,4346734.827
27/12/2021,4259018.402
28/12/2021,4281779.821
29/12/2021,4345216.232
30/12/2021,4322129.994
31/12/2021,4164289.015
01/01/2022,4386241.095
01/02/2022,4440641.029
01/03/2022,4440694.958
01/04/2022,4454613.391
01/05/2022,4483038.551
01/06/2022,4712348.423
01/07/2022,4994575.02
01/08/2022,5064005.516
01/09/2022,5208088.238
01/10/2022,5168842.202
01/11/2022,5585416.452
01/12/2022,5639824.475
13/01/2022,5921454.496
14/01/2022,6117943.236
15/01/2022,6191368.174
16/01/2022,6307382.441
17/01/2022,6352333.383
18/01/2022,6556863.226
19/01/2022,6640067.682
20/01/2022,6669309.327
21/01/2022,6793442.163
22/01/2022,7069584.731
23/01/2022,7148447.545
24/01/2022,7232281.443
25/01/2022,7131592.606
26/01/2022,7213653.927
27/01/2022,7766180.12
28/01/2022,8159097.756
29/01/2022,8889788.254
30/01/2022,9082229.957
31/01/2022,9192255.519
02/01/2022,9381647.581
02/02/2022,9751205.778
02/03/2022,10210530.0
02/04/2022,10245958.04
02/05/2022,10458945.94
02/06/2022,10617826.99
02/07/2022,10471225.01
02/08/2022,10674614.64
02/09/2022,10680895.87
02/10/2022,10487411.48
02/11/2022,10515598.01
02/12/2022,10411310.47
13/02/2022,10998756.3
14/02/2022,11485034.13
15/02/2022,11161123.02
16/02/2022,11184111.39
17/02/2022,11220307.88
18/02/2022,11047351.11
19/02/2022,10905550.9
20/02/2022,10810964.92
21/02/2022,10954120.77
22/02/2022,10780361.64
23/02/2022,11826716.88
24/02/2022,12090247.72
25/02/2022,12055708.69
26/02/2022,12337090.32
27/02/2022,12928101.02
28/02/2022,12728214.52
03/01/2022,13811902.49
03/02/2022,13829964.24
03/03/2022,13831016.49
03/04/2022,14155259.6
03/05/2022,13812217.55
03/06/2022,14178665.64
03/07/2022,14090594.23
03/08/2022,14173654.66
03/09/2022,14433436.23
03/10/2022,14421119.2
03/11/2022,13982238.85
03/12/2022,15092388.66
13/03/2022,14943518.5
14/03/2022,14665832.39
15/03/2022,14851578.79
16/03/2022,14939092.15
17/03/2022,15306600.45
18/03/2022,14922186.25
19/03/2022,15637445.07
20/03/2022,15386587.57
21/03/2022,15209054.52
22/03/2022,15169021.02
23/03/2022,15353782.94
24/03/2022,15313194.96
25/03/2022,15502132.08
26/03/2022,15527123.01
27/03/2022,15593615.31
28/03/2022,14795880.68
29/03/2022,14914048.33
30/03/2022,15049289.34
31/03/2022,15774676.12
04/01/2022,15581433.08
04/02/2022,15942340.74
04/03/2022,15857322.01
04/04/2022,15915303.46
04/05/2022,15919595.93
04/06/2022,15710919.44
04/07/2022,15652626.5
04/08/2022,15897512.56
04/09/2022,15771485.05
04/10/2022,15830484.12
04/11/2022,15911573.88
04/12/2022,15548996.69
13/04/2022,16061153.96
14/04/2022,16359335.04
15/04/2022,16111429.56
16/04/2022,16082822.62
17/04/2022,16093450.86
18/04/2022,16091567.03
19/04/2022,16039186.12
20/04/2022,16466225.75
21/04/2022,16300503.81
22/04/2022,16262638.89
23/04/2022,16147380.58
24/04/2022,16322895.19
25/04/2022,15756405.21
26/04/2022,15887960.68
27/04/2022,15498141.48
28/04/2022,15369920.55
29/04/2022,15813846.4
30/04/2022,14783136.83
05/01/2022,14414182.49
05/02/2022,14456932.91
05/03/2022,14324195.16
05/04/2022,14124941.66
05/05/2022,15202356.61
05/06/2022,14408502.06
05/07/2022,14279424.44
05/08/2022,14089377.81
05/09/2022,13922647.19
05/10/2022,11816789.3
05/11/2022,13655572.53
05/12/2022,4904436.345
13/05/2022,4936589.714
14/05/2022,4952331.393
15/05/2022,4952331.393
16/05/2022,4952331.393
17/05/2022,4957268.912
18/05/2022,4952331.393
19/05/2022,4942456.355
20/05/2022,4935119.202
21/05/2022,2752305.928
22/05/2022,1032146.721
23/05/2022,945726.0508
24/05/2022,863106.5412
25/05/2022,604163.4038
26/05/2022,454642.0877
27/05/2022,447227.8051
28/05/2022,6753589.229
29/05/2022,3968702.886
30/05/2022,3415593.427
31/05/2022,3178582.814
06/01/2022,2781677.836
06/02/2022,2548666.749
06/03/2022,2517454.521
06/04/2022,2335075.618
06/05/2022,2312835.101
06/06/2022,2288770.741
06/07/2022,2282645.937
06/08/2022,2279769.478
06/09/2022,2260329.896
06/10/2022,2260576.974
06/11/2022,2257395.072
06/12/2022,2216888.071
13/06/2022,1863585.169
14/06/2022,1833588.897
15/06/2022,1809278.053
16/06/2022,1770165.748
17/06/2022,1760267.421
18/06/2022,1759538.511
19/06/2022,1741303.404
20/06/2022,1731103.49
21/06/2022,1728604.175
22/06/2022,1713269.631
23/06/2022,1706563.982
24/06/2022,1710847.035
25/06/2022,1712499.501
26/06/2022,1707278.236
27/06/2022,1708985.514
28/06/2022,1708556.805
29/06/2022,1708024.906
30/06/2022,1708024.906
07/01/2022,1705022.696
07/02/2022,1687858.699
07/03/2022,1686174.209
07/04/2022,1684489.719
07/05/2022,1687789.766
07/06/2022,1675862.726
07/07/2022,1677536.914
07/08/2022,1672399.004
07/09/2022,1677203.72
07/10/2022,1677203.72
07/11/2022,1677203.72
07/12/2022,1675531.533
13/07/2022,1673859.345
14/07/2022,1673829.544
15/07/2022,1673431.789
16/07/2022,1671760.029
17/07/2022,1670009.374
18/07/2022,1672134.204
19/07/2022,1677145.595
20/07/2022,1677145.595
21/07/2022,1668451.999
22/07/2022,1669691.481
23/07/2022,1673802.487
24/07/2022,1678813.872
25/07/2022,1673802.487
26/07/2022,1667610.086
27/07/2022,1673802.487
28/07/2022,1670109.097
29/07/2022,1673802.487
30/07/2022,1672132.026
31/07/2022,1660874.439
08/01/2022,1657968.321
08/02/2022,1661284.258
08/03/2022,1655599.084
08/04/2022,1657081.864
08/05/2022,1657081.864
08/06/2022,1655042.379
08/07/2022,1657081.863
08/08/2022,1609378.088
08/09/2022,1611933.671
08/10/2022,1613543.994
08/11/2022,1613543.994
08/12/2022,1611933.671
13/08/2022,1602117.616
14/08/2022,1606265.998
15/08/2022,1604396.038
16/08/2022,1588561.896
17/08/2022,1590148.871
18/08/2022,1588561.896
19/08/2022,1586578.192
20/08/2022,1588164.771
21/08/2022,1588164.771
22/08/2022,1589751.349
23/08/2022,1585361.287
24/08/2022,1584122.169
25/08/2022,1586167.269
26/08/2022,1589751.349
27/08/2022,1591337.927
28/08/2022,1586287.849
29/08/2022,1586578.192
30/08/2022,1588164.771
31/08/2022,1586487.757
09/01/2022,1583490.704
09/02/2022,1586346.545
09/03/2022,1586578.186
09/04/2022,1586578.186
09/05/2022,1586578.186
09/06/2022,1592924.498
09/07/2022,1586578.186
09/08/2022,1588164.764
09/09/2022,1588164.764
09/10/2022,1588084.129
09/11/2022,1588084.129
09/12/2022,1585968.096
13/09/2022,1585023.29
14/09/2022,1583189.418
15/09/2022,1585023.29
16/09/2022,1583233.798
17/09/2022,1584823.577
18/09/2022,1586608.313
19/09/2022,1583349.505
20/09/2022,1588193.336
21/09/2022,1583563.483
22/09/2022,1586608.313
23/09/2022,1586608.313
24/09/2022,1586608.313
25/09/2022,1584631.789
26/09/2022,1589778.36
27/09/2022,1586608.313
28/09/2022,1586608.313
29/09/2022,1589778.36
30/09/2022,1585023.29
10/01/2022,1586608.313
10/02/2022,1588193.336
10/03/2022,1584986.834
10/04/2022,1585023.29
10/05/2022,1583950.229
10/06/2022,1583741.006
10/07/2022,1585023.29
10/08/2022,1583993.561
10/09/2022,1584643.264
10/10/2022,1580321.942
10/11/2022,1587812.551
10/12/2022,1584131.425
13/10/2022,1586222.901
14/10/2022,1587807.539
15/10/2022,1583061.548
16/10/2022,1583765.127
17/10/2022,1583550.168
