Date,TVL
14/06/2023,13300350.14
15/06/2023,16484319.98
16/06/2023,16557169.15
17/06/2023,17099837.47
18/06/2023,17177115.61
19/06/2023,17161176.44
20/06/2023,17335749.18
21/06/2023,17929755.41
22/06/2023,19083949.91
23/06/2023,18695588.08
24/06/2023,18769390.0
25/06/2023,18682076.51
26/06/2023,18888744.01
27/06/2023,18566137.41
28/06/2023,18657881.21
29/06/2023,18257499.14
30/06/2023,18453136.29
01/07/2023,19332958.98
02/07/2023,19164797.4
03/07/2023,19321233.65
04/07/2023,19504158.4
05/07/2023,19332540.99
06/07/2023,18997957.29
07/07/2023,18380332.91
08/07/2023,18662952.69
09/07/2023,18633873.84
10/07/2023,18574453.82
11/07/2023,18739752.51
12/07/2023,18774366.13
13/07/2023,81727495.47
14/07/2023,94308514.49
15/07/2023,90370779.53
16/07/2023,90505184.05
17/07/2023,89939140.96
18/07/2023,89502627.34
19/07/2023,89328221.33
20/07/2023,88549489.31
21/07/2023,88528355.23
22/07/2023,88761002.39
23/07/2023,87166102.98
24/07/2023,88434755.38
25/07/2023,86653035.79
26/07/2023,86933590.08
27/07/2023,87461968.35
28/07/2023,87186405.91
29/07/2023,87807672.17
30/07/2023,87987818.11
31/07/2023,87662292.46
01/08/2023,87179548.57
02/08/2023,87446438.89
03/08/2023,86202446.85
04/08/2023,86020839.07
05/08/2023,85727394.2
06/08/2023,85967670.26
07/08/2023,85621076.32
08/08/2023,85816651.56
09/08/2023,87144526.36
10/08/2023,87120542.2
11/08/2023,86973088.84
12/08/2023,86985817.18
13/08/2023,86891632.15
14/08/2023,86453507.06
15/08/2023,86685648.27
16/08/2023,85938338.39
17/08/2023,84038826.32
18/08/2023,79363634.6
19/08/2023,78469202.78
20/08/2023,78690842.28
21/08/2023,79120605.6
22/08/2023,78459103.72
23/08/2023,235555035.7
24/08/2023,242266369.5
25/08/2023,238802490.0
26/08/2023,237951703.8
27/08/2023,236901223.3
28/08/2023,238307988.8
29/08/2023,237750734.0
30/08/2023,248630976.4
31/08/2023,245234867.0
01/09/2023,237537578.2
02/09/2023,234422874.7
03/09/2023,234816957.2
04/09/2023,235033031.2
05/09/2023,233659097.3
06/09/2023,234273968.5
07/09/2023,234192436.4
08/09/2023,236463202.5
09/09/2023,234566529.7
10/09/2023,233922811.0
11/09/2023,230731328.2
12/09/2023,220919023.1
13/09/2023,226227088.8
14/09/2023,227389542.1
15/09/2023,230041036.3
16/09/2023,231158676.2
17/09/2023,229124772.6
18/09/2023,226905416.5
19/09/2023,229459917.8
20/09/2023,229008549.7
21/09/2023,226378166.8
22/09/2023,221244832.0
23/09/2023,222845987.3
24/09/2023,222372697.9
25/09/2023,219626267.5
26/09/2023,220809554.5
27/09/2023,221555429.0
28/09/2023,222169058.4
29/09/2023,230025345.8
30/09/2023,231465894.5
01/10/2023,231914580.0
02/10/2023,239647085.4
03/10/2023,230461574.4
04/10/2023,227259709.0
05/10/2023,227075949.1
06/10/2023,222894139.8
07/10/2023,226928374.1
08/10/2023,225343871.1
09/10/2023,224250559.8
10/10/2023,217583469.9
11/10/2023,215831736.7
12/10/2023,215196156.1
13/10/2023,212149745.8
14/10/2023,213130778.6
15/10/2023,213253877.2
16/10/2023,209183984.6
17/10/2023,214641151.7
18/10/2023,209630724.1
19/10/2023,209376615.9
20/10/2023,209976236.1
21/10/2023,215060962.3
22/10/2023,218564741.8
23/10/2023,222596449.8
24/10/2023,238609083.2
25/10/2023,237631309.5
26/10/2023,228031538.6
27/10/2023,228851576.5
28/10/2023,224854540.4
29/10/2023,224003999.0
30/10/2023,226437573.7
31/10/2023,231172058.9
01/11/2023,229087306.8
02/11/2023,232854917.8
03/11/2023,226406105.9
04/11/2023,232634571.0
05/11/2023,238246921.5
06/11/2023,238235717.5
07/11/2023,239189828.2
08/11/2023,237020838.9
09/11/2023,237576624.4
10/11/2023,362392069.1
11/11/2023,354318236.9
12/11/2023,348660102.4
13/11/2023,347065043.2
14/11/2023,349092900.0
15/11/2023,335931960.0
16/11/2023,348877118.9
17/11/2023,332022708.5
18/11/2023,331176917.3
19/11/2023,332354466.1
20/11/2023,340772348.4
21/11/2023,343329060.8
22/11/2023,328544345.7
23/11/2023,349468887.4
24/11/2023,349251924.1
25/11/2023,353068511.2
26/11/2023,359757741.8
27/11/2023,360444008.3
28/11/2023,354908847.1
29/11/2023,358907476.5
30/11/2023,359403374.9
01/12/2023,368679788.2
02/12/2023,383271339.5
03/12/2023,401133548.1
04/12/2023,406570884.2
05/12/2023,416033238.8
06/12/2023,426926300.1
07/12/2023,413418510.1
08/12/2023,441231204.8
09/12/2023,441372116.1
10/12/2023,441106580.7
11/12/2023,445473341.5
12/12/2023,423109989.7
13/12/2023,417019507.6
14/12/2023,427732310.1
15/12/2023,440639596.8
16/12/2023,422960844.1
17/12/2023,423554389.5
18/12/2023,418207229.0
19/12/2023,829372287.9
20/12/2023,950048816.9
21/12/2023,1007779914.0
22/12/2023,1064517545.0
23/12/2023,1151349510.0
24/12/2023,1185163139.0
25/12/2023,1185312097.0
26/12/2023,1202114797.0
27/12/2023,1193370426.0
28/12/2023,1294087548.0
29/12/2023,1294055519.0
30/12/2023,1293333534.0
31/12/2023,1322709264.0
01/01/2024,1342736759.0
02/01/2024,1394679180.0
03/01/2024,1495224065.0
04/01/2024,1416162938.0
05/01/2024,1461138663.0
06/01/2024,1461492441.0
07/01/2024,1453354916.0
08/01/2024,1443330535.0
09/01/2024,1527220795.0
10/01/2024,1536415925.0
11/01/2024,1713871412.0
12/01/2024,1735243507.0
13/01/2024,1675671557.0
14/01/2024,1720734959.0
15/01/2024,1674030889.0
16/01/2024,1715757836.0
17/01/2024,1807916643.0
18/01/2024,1795754488.0
19/01/2024,1794033767.0
20/01/2024,1841255501.0
21/01/2024,1849951370.0
22/01/2024,1892413727.0
23/01/2024,1806157135.0
24/01/2024,1804701726.0
25/01/2024,1834327997.0
26/01/2024,1837219734.0
27/01/2024,1925948620.0
28/01/2024,1963355531.0
29/01/2024,1998992780.0
30/01/2024,2074177594.0
31/01/2024,2123282669.0
01/02/2024,2113582487.0
02/02/2024,2169638393.0
03/02/2024,2236979918.0
04/02/2024,2276593386.0
05/02/2024,2299955808.0
06/02/2024,3490776465.0
07/02/2024,4196693320.0
08/02/2024,4840657401.0
09/02/2024,5694399685.0
10/02/2024,6180935476.0
11/02/2024,6244423772.0
12/02/2024,6289427930.0
13/02/2024,6721464200.0
14/02/2024,6809547622.0
15/02/2024,7244916772.0
16/02/2024,7361707794.0
17/02/2024,7324777308.0
18/02/2024,7295505736.0
19/02/2024,7584888996.0
20/02/2024,7810850737.0
21/02/2024,8027457159.0
22/02/2024,7948437078.0
23/02/2024,8038364945.0
24/02/2024,7907419828.0
25/02/2024,8122702441.0
26/02/2024,8498035526.0
27/02/2024,8827157430.0
28/02/2024,9265745626.0
29/02/2024,9741289640.0
01/03/2024,9761771427.0
02/03/2024,10166532066.0
03/03/2024,10139844907.0
04/03/2024,10399279587.0
05/03/2024,10814998272.0
06/03/2024,10677521423.0
07/03/2024,11547012362.0
08/03/2024,11684855211.0
09/03/2024,11838239441.0
10/03/2024,11997554482.0
11/03/2024,11953281778.0
12/03/2024,12613457124.0
13/03/2024,12307282619.0
14/03/2024,12449982562.0
15/03/2024,12184770505.0
16/03/2024,11852891734.0
17/03/2024,11333767771.0
18/03/2024,11858605290.0
19/03/2024,11618119158.0
20/03/2024,10573813604.0
21/03/2024,12124399682.0
22/03/2024,12203343784.0
23/03/2024,11713541443.0
24/03/2024,11841411479.0
25/03/2024,12229395273.0
26/03/2024,12861722731.0
27/03/2024,13169715543.0
28/03/2024,13170787900.0
29/03/2024,13576626904.0
30/03/2024,13526675295.0
31/03/2024,13694514131.0
01/04/2024,14323789429.0
02/04/2024,13904947520.0
03/04/2024,13150639096.0
04/04/2024,13490696214.0
05/04/2024,13653071231.0
06/04/2024,13694093503.0
07/04/2024,13936973728.0
08/04/2024,14501185640.0
09/04/2024,15664038408.0
10/04/2024,15152355509.0
11/04/2024,15484670067.0
12/04/2024,15768631711.0
13/04/2024,14633638329.0
14/04/2024,13628368811.0
15/04/2024,14424033833.0
16/04/2024,14391148690.0
17/04/2024,14561496029.0
18/04/2024,14154990700.0
19/04/2024,14612572264.0
20/04/2024,14610545782.0
21/04/2024,15163106861.0
22/04/2024,15259064750.0
23/04/2024,14000837263.0
24/04/2024,15412392359.0
25/04/2024,15142311376.0
26/04/2024,15452319792.0
27/04/2024,15425787691.0
28/04/2024,15991565167.0
29/04/2024,16332877434.0
30/04/2024,15948948438.0
01/05/2024,15037751145.0
02/05/2024,14871446715.0
03/05/2024,14995455892.0
04/05/2024,15510748189.0
05/05/2024,15621280841.0
06/05/2024,15689908302.0
07/05/2024,15374872308.0
08/05/2024,15141140947.0
09/05/2024,14761811400.0
10/05/2024,14928506807.0
11/05/2024,14313239902.0
12/05/2024,14444469745.0
13/05/2024,14537642948.0
14/05/2024,14612844747.0
15/05/2024,14314007251.0
16/05/2024,14925865294.0
17/05/2024,14417243676.0
18/05/2024,15218027027.0
19/05/2024,15429574065.0
20/05/2024,15255580166.0
21/05/2024,17836690357.0
22/05/2024,18874676540.0
23/05/2024,18699528036.0
24/05/2024,18830984788.0
25/05/2024,18479078061.0
26/05/2024,18488515779.0
27/05/2024,19053722425.0
28/05/2024,19238651234.0
29/05/2024,19063545236.0
30/05/2024,18738154583.0
31/05/2024,18584121951.0
01/06/2024,19169677194.0
02/06/2024,19322270440.0
03/06/2024,19448036391.0
04/06/2024,19438597984.0
05/06/2024,19777168074.0
06/06/2024,19999881983.0
07/06/2024,19879272905.0
08/06/2024,19376106160.0
09/06/2024,19288890503.0
10/06/2024,19613118041.0
11/06/2024,19459799806.0
12/06/2024,18570278033.0
13/06/2024,18796121720.0
14/06/2024,18379382974.0
15/06/2024,18436888613.0
16/06/2024,18980221108.0
17/06/2024,19597654161.0
18/06/2024,18984546867.0
19/06/2024,18839031660.0
20/06/2024,18942099846.0
21/06/2024,18571580145.0
22/06/2024,18518136010.0
23/06/2024,18392105412.0
24/06/2024,17990160833.0
25/06/2024,17467153800.0
26/06/2024,18024465753.0
27/06/2024,18045474749.0
28/06/2024,18153667850.0
29/06/2024,17380456985.0
30/06/2024,17188915146.0
01/07/2024,17306121494.0
02/07/2024,17582446873.0
03/07/2024,17387926140.0
04/07/2024,16803260587.0
05/07/2024,15908125596.0
06/07/2024,15026350901.0
07/07/2024,15394650305.0
08/07/2024,14110542501.0
09/07/2024,14476070858.0
10/07/2024,14799426043.0
11/07/2024,15022892684.0
13/07/2024,15270068122.0
14/07/2024,15240945667.0
15/07/2024,15703444396.0
16/07/2024,16516678772.0
17/07/2024,15866672639.0
18/07/2024,15575223139.0
19/07/2024,15624765890.0
20/07/2024,16041436233.0
