Date,TVL
08/09/2023,28644.83046
09/09/2023,30128.5439
10/09/2023,35404.21066
11/09/2023,37413.04014
12/09/2023,39009.76884
14/09/2023,318014.868
15/09/2023,327234.2462
16/09/2023,468959.8561
17/09/2023,672604.0646
18/09/2023,743024.6138
19/09/2023,858512.2891
20/09/2023,898329.0721
21/09/2023,965790.6005
22/09/2023,1029269.093
23/09/2023,1083080.989
24/09/2023,1130392.275
25/09/2023,1216192.145
26/09/2023,1220329.414
27/09/2023,1298514.477
28/09/2023,1310615.442
29/09/2023,1280186.972
30/09/2023,1374020.989
01/10/2023,1467433.688
02/10/2023,1598713.022
03/10/2023,1673648.003
04/10/2023,1852397.208
05/10/2023,2199185.098
06/10/2023,2180952.916
07/10/2023,2137829.647
08/10/2023,2092734.183
09/10/2023,2137500.096
10/10/2023,2043397.709
11/10/2023,2082792.217
12/10/2023,2099837.127
13/10/2023,2194088.049
14/10/2023,2298662.558
15/10/2023,2384978.249
16/10/2023,2497606.552
17/10/2023,2507262.623
18/10/2023,2591316.008
19/10/2023,2608432.521
20/10/2023,2639952.272
21/10/2023,2602049.895
22/10/2023,2553869.24
23/10/2023,2514879.013
24/10/2023,2453513.588
25/10/2023,2435473.304
26/10/2023,2441597.579
27/10/2023,2314735.943
28/10/2023,2388099.55
29/10/2023,2423078.127
30/10/2023,2532803.611
31/10/2023,2608089.773
01/11/2023,2702453.953
02/11/2023,2968133.119
03/11/2023,2870479.48
04/11/2023,2972959.16
05/11/2023,3016062.089
06/11/2023,3045973.294
07/11/2023,3042143.499
08/11/2023,3102269.059
09/11/2023,3126413.738
10/11/2023,3122138.18
11/11/2023,3068556.161
12/11/2023,3123955.523
13/11/2023,3231577.48
14/11/2023,3318309.208
15/11/2023,3343060.012
16/11/2023,3377970.363
17/11/2023,3397149.426
18/11/2023,3450554.716
19/11/2023,3500593.216
20/11/2023,3783373.889
21/11/2023,3837019.736
22/11/2023,3869833.189
23/11/2023,4083026.068
24/11/2023,4240354.609
25/11/2023,4537664.397
26/11/2023,4797432.121
27/11/2023,5022726.29
28/11/2023,5280440.884
29/11/2023,5449099.185
30/11/2023,5531026.629
01/12/2023,5573688.048
02/12/2023,5704089.451
03/12/2023,5623492.378
04/12/2023,5759338.188
05/12/2023,5743803.969
06/12/2023,6194726.997
07/12/2023,6048408.905
08/12/2023,5854516.129
09/12/2023,6185975.395
10/12/2023,6450508.48
11/12/2023,6789082.343
12/12/2023,7365505.955
13/12/2023,7222364.797
14/12/2023,7341027.384
15/12/2023,7725276.392
16/12/2023,7567269.535
17/12/2023,7641095.512
18/12/2023,7591337.71
19/12/2023,7427223.981
20/12/2023,7319746.22
21/12/2023,7545292.799
22/12/2023,7583454.662
23/12/2023,7783657.958
24/12/2023,7949594.758
25/12/2023,7927542.661
26/12/2023,8090463.046
27/12/2023,8215382.746
28/12/2023,8455402.41
29/12/2023,8292751.374
30/12/2023,8294248.367
31/12/2023,8452869.261
01/01/2024,8573203.091
02/01/2024,8787363.453
03/01/2024,8754799.084
04/01/2024,8561510.207
05/01/2024,8911990.68
06/01/2024,8954124.06
07/01/2024,9010060.637
08/01/2024,9010275.658
09/01/2024,9278205.894
10/01/2024,9350820.622
11/01/2024,9783764.168
12/01/2024,9806334.205
13/01/2024,9543402.559
14/01/2024,9942628.993
15/01/2024,9910840.346
16/01/2024,9658828.886
17/01/2024,10055675.0
18/01/2024,9895225.456
19/01/2024,9989093.564
20/01/2024,10035263.33
21/01/2024,10086420.49
22/01/2024,10211970.86
23/01/2024,9754237.241
24/01/2024,9372335.074
25/01/2024,9474619.846
26/01/2024,9504629.84
27/01/2024,9737508.767
28/01/2024,9842763.073
29/01/2024,9817974.755
30/01/2024,10067868.92
31/01/2024,10237053.66
01/02/2024,9889873.974
02/02/2024,10081260.23
03/02/2024,10224177.36
04/02/2024,10222812.56
05/02/2024,10361381.18
06/02/2024,10423325.82
07/02/2024,10299914.84
08/02/2024,11919584.6
09/02/2024,12168123.49
10/02/2024,12375588.71
11/02/2024,12421499.74
12/02/2024,12745402.8
13/02/2024,13420072.06
14/02/2024,13362599.96
15/02/2024,12424502.04
16/02/2024,12213165.86
17/02/2024,12040056.34
18/02/2024,12101033.4
19/02/2024,12406099.09
20/02/2024,12613883.82
21/02/2024,13849452.86
22/02/2024,14491093.33
23/02/2024,23361140.57
24/02/2024,24493315.61
25/02/2024,26890367.25
26/02/2024,28074841.39
27/02/2024,27850447.51
28/02/2024,28907894.37
29/02/2024,29148664.8
01/03/2024,28063915.62
02/03/2024,28694167.75
03/03/2024,28606614.35
04/03/2024,28166490.34
05/03/2024,28548502.21
06/03/2024,31658828.16
07/03/2024,35506397.64
08/03/2024,34840519.04
09/03/2024,36134891.92
10/03/2024,40614352.98
11/03/2024,41985249.12
12/03/2024,44047517.08
13/03/2024,45367496.83
14/03/2024,47732178.75
15/03/2024,46989839.94
16/03/2024,46421003.35
17/03/2024,44287533.12
18/03/2024,46255328.46
19/03/2024,46047359.05
20/03/2024,44591645.0
21/03/2024,48796890.43
22/03/2024,50479797.64
23/03/2024,51604797.26
24/03/2024,53601319.29
25/03/2024,56543211.63
26/03/2024,58572502.95
27/03/2024,61272512.39
28/03/2024,60541076.14
29/03/2024,63767469.82
30/03/2024,62855650.82
31/03/2024,62156344.5
01/04/2024,63765821.86
02/04/2024,59380531.3
03/04/2024,57502945.4
04/04/2024,58002852.74
05/04/2024,59730571.13
06/04/2024,58327451.39
07/04/2024,60997813.23
08/04/2024,61243090.87
09/04/2024,64712820.5
10/04/2024,61918123.02
11/04/2024,62300732.6
12/04/2024,61457758.02
13/04/2024,53885963.41
14/04/2024,45567510.71
15/04/2024,47249432.91
16/04/2024,44933739.56
17/04/2024,44828219.0
18/04/2024,43324956.68
19/04/2024,43381309.28
20/04/2024,44251711.37
21/04/2024,46322792.61
22/04/2024,45638687.53
23/04/2024,45069486.43
24/04/2024,44616383.68
25/04/2024,44411813.05
26/04/2024,44275756.32
27/04/2024,43056714.82
28/04/2024,44909081.32
29/04/2024,46156148.12
30/04/2024,43714007.41
01/05/2024,40888185.67
02/05/2024,44076153.32
03/05/2024,45029462.92
04/05/2024,46374988.12
05/05/2024,46493447.36
06/05/2024,48145978.97
07/05/2024,47869647.28
08/05/2024,46865889.89
09/05/2024,44365751.98
10/05/2024,42842300.48
11/05/2024,42190661.81
12/05/2024,42720503.21
13/05/2024,41973240.23
14/05/2024,41540973.35
15/05/2024,40849634.92
16/05/2024,42165428.6
17/05/2024,41909299.23
18/05/2024,43803953.05
19/05/2024,44257221.95
20/05/2024,43201390.01
21/05/2024,45904753.77
22/05/2024,46437819.66
23/05/2024,46488017.21
24/05/2024,47362281.25
25/05/2024,47678763.86
26/05/2024,48845177.4
27/05/2024,49340327.57
28/05/2024,50835652.11
29/05/2024,50214692.68
30/05/2024,49108182.57
31/05/2024,49233793.22
01/06/2024,45884269.08
02/06/2024,46582546.79
03/06/2024,46511216.87
04/06/2024,46843081.58
05/06/2024,48213926.99
06/06/2024,46525190.72
07/06/2024,46794845.25
08/06/2024,44768684.56
09/06/2024,45224340.91
10/06/2024,47290984.94
11/06/2024,46847491.47
12/06/2024,45711775.88
13/06/2024,46690716.92
14/06/2024,46293151.85
15/06/2024,47148501.56
16/06/2024,47655112.5
17/06/2024,49218495.83
18/06/2024,47654060.39
19/06/2024,46347861.92
20/06/2024,47778707.96
21/06/2024,47612068.13
22/06/2024,47182826.91
23/06/2024,48030994.46
24/06/2024,46789040.53
25/06/2024,46162127.55
26/06/2024,47549839.92
27/06/2024,47593478.85
28/06/2024,47468629.8
29/06/2024,47252648.22
30/06/2024,47435254.48
01/07/2024,48226156.29
02/07/2024,49840357.93
03/07/2024,50916535.92
04/07/2024,48954511.14
05/07/2024,49217371.67
06/07/2024,46989216.5
07/07/2024,51215286.44
08/07/2024,52156405.57
09/07/2024,55275041.41
10/07/2024,55991539.92
11/07/2024,55816245.35
12/07/2024,56221130.84
13/07/2024,58155328.27
14/07/2024,60938711.5
15/07/2024,64629930.28
16/07/2024,70844604.51
17/07/2024,72145138.46
18/07/2024,75497813.15
19/07/2024,75043270.4
20/07/2024,77841545.73
21/07/2024,77906419.05
22/07/2024,76723779.54
23/07/2024,73461601.65
24/07/2024,76917295.03
25/07/2024,75421354.13
26/07/2024,75174987.55
27/07/2024,77049066.38
28/07/2024,79465464.69
29/07/2024,78314581.27
30/07/2024,81082922.06
31/07/2024,83286342.82
01/08/2024,100907054.7
02/08/2024,99129605.41
03/08/2024,92352934.02
04/08/2024,89244495.36
05/08/2024,87093543.77
06/08/2024,79298373.91
07/08/2024,79166847.15
08/08/2024,74625000.36
09/08/2024,83031718.56
10/08/2024,81521653.76
11/08/2024,82072416.72
12/08/2024,83595234.38
13/08/2024,84406801.75
14/08/2024,86987920.13
15/08/2024,85592997.5
16/08/2024,81919487.16
17/08/2024,83213014.32
18/08/2024,83057938.44
19/08/2024,84013561.9
20/08/2024,80370334.66
21/08/2024,79455001.58
22/08/2024,80294494.71
23/08/2024,79193726.09
24/08/2024,80689103.64
25/08/2024,78756070.46
26/08/2024,80309458.65
27/08/2024,81734313.26
28/08/2024,77117089.04
29/08/2024,78865740.62
30/08/2024,78934492.61
31/08/2024,78547279.1
01/09/2024,79661619.71
02/09/2024,77994884.42
03/09/2024,79149933.47
04/09/2024,77896653.42
05/09/2024,79362584.71
06/09/2024,77355820.06
07/09/2024,74680721.53
