Date,TVL
14/12/2023,7013345.701
15/12/2023,12886301.4
16/12/2023,21501680.87
19/12/2023,32734789.98
20/12/2023,37611689.71
21/12/2023,44103681.31
22/12/2023,49298257.63
23/12/2023,54958802.32
24/12/2023,57311257.05
25/12/2023,59614171.02
26/12/2023,63286470.34
27/12/2023,63983210.28
28/12/2023,71345358.78
29/12/2023,73085631.24
30/12/2023,79210569.99
31/12/2023,84763418.69
01/01/2024,86250148.95
02/01/2024,91689999.25
03/01/2024,101703659.0
04/01/2024,104886816.0
05/01/2024,106064418.9
06/01/2024,106668319.8
07/01/2024,110664820.4
08/01/2024,110182278.3
09/01/2024,113143471.6
10/01/2024,117024561.3
11/01/2024,117438884.3
12/01/2024,117555972.5
13/01/2024,118121827.1
14/01/2024,118660181.2
15/01/2024,118500436.2
16/01/2024,123104423.1
17/01/2024,124545576.8
18/01/2024,126058547.3
19/01/2024,125367709.3
20/01/2024,131115628.2
21/01/2024,131377597.5
22/01/2024,132119029.5
23/01/2024,131332606.7
24/01/2024,131663576.0
25/01/2024,131302828.4
26/01/2024,131704523.0
27/01/2024,131773944.2
28/01/2024,131557059.8
29/01/2024,131674033.4
30/01/2024,133214941.4
31/01/2024,135308781.6
01/02/2024,139557086.0
02/02/2024,146630077.6
03/02/2024,152484998.3
04/02/2024,152586188.1
05/02/2024,155142504.9
06/02/2024,156200359.3
07/02/2024,164279344.9
08/02/2024,178700609.6
09/02/2024,178889932.4
10/02/2024,198946376.3
11/02/2024,208480573.6
12/02/2024,208662205.9
13/02/2024,209012887.5
14/02/2024,224183698.4
15/02/2024,224420691.0
16/02/2024,225993856.4
17/02/2024,233468591.2
18/02/2024,237776334.7
19/02/2024,242162225.7
20/02/2024,279383934.1
21/02/2024,334802385.5
22/02/2024,364625687.1
23/02/2024,413999023.0
24/02/2024,420890695.9
25/02/2024,428090159.5
26/02/2024,437651677.7
27/02/2024,483126798.6
28/02/2024,498043647.3
29/02/2024,519531850.8
01/03/2024,585124593.3
02/03/2024,619855372.3
03/03/2024,671527079.3
04/03/2024,713039676.7
05/03/2024,780138320.0
06/03/2024,811894906.5
07/03/2024,825784695.6
08/03/2024,829359065.5
09/03/2024,843404329.6
10/03/2024,851419712.0
11/03/2024,868514588.0
12/03/2024,900865238.1
13/03/2024,957013666.2
14/03/2024,1000006684.0
15/03/2024,1057035235.0
16/03/2024,1079484607.0
17/03/2024,1100131853.0
18/03/2024,1113011242.0
19/03/2024,1148040673.0
20/03/2024,1175283680.0
21/03/2024,1197540660.0
22/03/2024,1225474374.0
23/03/2024,1273312109.0
24/03/2024,1284744513.0
25/03/2024,1303537706.0
26/03/2024,1325399267.0
27/03/2024,1343041566.0
28/03/2024,1370495331.0
29/03/2024,1399043686.0
30/03/2024,1506114055.0
31/03/2024,1532428087.0
01/04/2024,1538960330.0
02/04/2024,1558559475.0
03/04/2024,1782968867.0
04/04/2024,1972659883.0
05/04/2024,1996242221.0
06/04/2024,2011963555.0
07/04/2024,2045053086.0
08/04/2024,2067124457.0
09/04/2024,2202267893.0
10/04/2024,2277330508.0
11/04/2024,2326834136.0
12/04/2024,2361713137.0
13/04/2024,2388370259.0
14/04/2024,2388321610.0
15/04/2024,2361665224.0
16/04/2024,2366029432.0
17/04/2024,2357133844.0
18/04/2024,2366809171.0
