Date,TVL
03/02/2023,1515827.015
04/02/2023,1938280.229
05/02/2023,2987845.909
06/02/2023,3267001.97
07/02/2023,3440620.467
08/02/2023,3862338.529
09/02/2023,4612192.268
10/02/2023,4672667.757
11/02/2023,4836799.918
12/02/2023,4931444.21
13/02/2023,5093851.221
14/02/2023,5621261.173
15/02/2023,5855965.281
16/02/2023,5918383.33
17/02/2023,5617421.674
18/02/2023,5697567.071
19/02/2023,6349148.73
20/02/2023,6631245.19
21/02/2023,7924650.501
22/02/2023,8171458.474
23/02/2023,9105672.431
24/02/2023,9494768.316
25/02/2023,10255295.27
26/02/2023,10825874.95
27/02/2023,11253863.82
28/02/2023,11884024.43
01/03/2023,11754690.8
02/03/2023,12860597.38
03/03/2023,13639096.37
04/03/2023,14696208.49
05/03/2023,16291009.21
06/03/2023,19395622.05
07/03/2023,20715400.38
08/03/2023,22000084.53
09/03/2023,24403871.64
10/03/2023,24842707.77
11/03/2023,25419644.06
12/03/2023,26074178.86
13/03/2023,26381101.33
14/03/2023,27242356.78
15/03/2023,28327433.23
16/03/2023,28235467.88
17/03/2023,32908002.95
18/03/2023,37471801.95
19/03/2023,38229342.04
20/03/2023,39266172.4
21/03/2023,39777070.28
22/03/2023,40279747.22
23/03/2023,42428974.0
24/03/2023,40327690.68
25/03/2023,40821968.05
26/03/2023,38862688.85
27/03/2023,39090891.24
28/03/2023,39356943.63
29/03/2023,39161054.48
30/03/2023,40306352.25
31/03/2023,42456446.06
01/04/2023,43055817.14
02/04/2023,42915992.86
03/04/2023,43274440.15
04/04/2023,42937693.04
05/04/2023,41507671.76
06/04/2023,41944906.87
07/04/2023,42351188.12
08/04/2023,40281646.39
09/04/2023,42625090.4
10/04/2023,40011531.92
11/04/2023,39338122.53
12/04/2023,37863223.4
13/04/2023,37863578.6
14/04/2023,37381710.21
15/04/2023,36293789.99
16/04/2023,35722938.63
17/04/2023,35381784.36
18/04/2023,35084056.39
19/04/2023,35679530.99
20/04/2023,35849772.95
21/04/2023,35145283.11
22/04/2023,34604924.59
23/04/2023,34304885.72
24/04/2023,34849064.78
25/04/2023,34276771.48
26/04/2023,34396297.97
27/04/2023,34327929.44
28/04/2023,33133284.32
29/04/2023,33189746.15
30/04/2023,33506618.5
01/05/2023,33476560.76
02/05/2023,34801067.28
03/05/2023,34268469.66
04/05/2023,34481715.91
05/05/2023,33227489.56
06/05/2023,33005297.61
07/05/2023,33598250.0
08/05/2023,33351268.94
09/05/2023,33201601.84
10/05/2023,32028799.27
11/05/2023,33184265.98
12/05/2023,32295877.29
13/05/2023,32399574.31
14/05/2023,32277535.35
15/05/2023,30775164.01
16/05/2023,30795299.12
17/05/2023,30327656.06
18/05/2023,30470918.49
19/05/2023,28646883.82
20/05/2023,32444642.46
21/05/2023,39069456.28
22/05/2023,38455546.92
23/05/2023,38681548.98
24/05/2023,37774149.79
25/05/2023,38259032.62
26/05/2023,39927078.67
27/05/2023,39512458.3
28/05/2023,39812883.81
29/05/2023,40184354.57
30/05/2023,39759706.99
31/05/2023,38990615.48
01/06/2023,37764209.94
02/06/2023,38252317.06
03/06/2023,38176881.31
04/06/2023,37852998.89
05/06/2023,38106604.33
06/06/2023,32286322.81
07/06/2023,31667341.22
08/06/2023,29473955.73
