Date,TVL
11/11/2023,309331.318
12/11/2023,311131.7757
13/11/2023,301765.1065
14/11/2023,270612.2777
15/11/2023,287256.4305
16/11/2023,373971.075
17/11/2023,547935.635
18/11/2023,1185982.899
19/11/2023,1228497.652
20/11/2023,1347605.995
21/11/2023,1854079.079
22/11/2023,2275831.753
23/11/2023,3841107.091
24/11/2023,4458287.744
25/11/2023,6377311.292
26/11/2023,7135686.764
27/11/2023,7331002.947
28/11/2023,7883584.294
29/11/2023,8622922.05
30/11/2023,12974874.88
01/12/2023,14190730.57
02/12/2023,16872324.49
03/12/2023,18344477.44
04/12/2023,18735456.27
05/12/2023,19765358.33
06/12/2023,21794677.0
07/12/2023,25912462.84
08/12/2023,33960956.15
09/12/2023,51862194.15
10/12/2023,58029090.47
11/12/2023,66404522.41
12/12/2023,68418590.48
13/12/2023,71863337.95
14/12/2023,76150370.42
15/12/2023,82099443.76
16/12/2023,79999359.79
17/12/2023,82317424.02
18/12/2023,80147339.48
19/12/2023,92060321.57
20/12/2023,94185342.57
21/12/2023,106468806.5
22/12/2023,120302700.1
23/12/2023,123204697.8
24/12/2023,135638171.0
25/12/2023,130722537.5
26/12/2023,145675907.0
27/12/2023,144650682.0
28/12/2023,139363750.0
29/12/2023,132058611.9
30/12/2023,142763766.7
31/12/2023,139155631.3
01/01/2024,137825138.8
02/01/2024,147926639.3
03/01/2024,147709760.2
04/01/2024,139416092.1
05/01/2024,144819738.4
06/01/2024,139751351.9
07/01/2024,135710974.7
08/01/2024,129489889.9
09/01/2024,139640205.1
10/01/2024,142735158.4
11/01/2024,143506871.6
12/01/2024,147054609.7
13/01/2024,137141754.8
14/01/2024,143184420.4
15/01/2024,143605356.4
16/01/2024,145218546.8
17/01/2024,151405860.8
18/01/2024,157905163.4
19/01/2024,148335669.7
20/01/2024,153441808.0
21/01/2024,165479439.1
22/01/2024,165831654.0
23/01/2024,160975837.1
24/01/2024,160107034.8
25/01/2024,173104785.7
26/01/2024,173544441.6
27/01/2024,184150523.9
28/01/2024,188626767.5
29/01/2024,195341159.4
30/01/2024,207291862.8
31/01/2024,207394878.7
01/02/2024,210755351.6
02/02/2024,219222575.7
03/02/2024,235254217.7
04/02/2024,237174960.8
05/02/2024,238206950.1
06/02/2024,237716323.2
07/02/2024,243000580.6
08/02/2024,260573330.2
09/02/2024,264745732.6
10/02/2024,277518208.5
11/02/2024,284212174.9
12/02/2024,285564674.0
13/02/2024,298981672.7
14/02/2024,297037438.8
15/02/2024,312983518.6
16/02/2024,304095623.3
17/02/2024,302712763.4
18/02/2024,300654994.3
19/02/2024,314024090.4
20/02/2024,316195096.0
21/02/2024,308650793.3
22/02/2024,301836999.2
23/02/2024,294253931.8
24/02/2024,288352902.7
25/02/2024,301889495.0
26/02/2024,300340213.6
