Date,TVL
22/12/2023,12782666.97
23/12/2023,13591282.87
24/12/2023,14351598.97
25/12/2023,14961617.37
26/12/2023,15573616.76
27/12/2023,16614328.83
28/12/2023,17886555.25
29/12/2023,20660871.36
30/12/2023,22926211.12
31/12/2023,23665681.59
01/01/2024,24608314.12
02/01/2024,25908791.49
03/01/2024,26588330.87
04/01/2024,27019413.61
05/01/2024,29587591.02
06/01/2024,30373211.16
07/01/2024,30905777.95
08/01/2024,31385409.39
09/01/2024,32064474.64
10/01/2024,32481214.82
11/01/2024,33131089.59
12/01/2024,33652989.94
13/01/2024,33944916.84
14/01/2024,34303836.88
15/01/2024,34951367.27
16/01/2024,35528963.19
17/01/2024,35761864.36
18/01/2024,36370908.7
19/01/2024,36739498.39
20/01/2024,36955992.67
21/01/2024,39674236.0
22/01/2024,40011825.24
23/01/2024,40333469.34
24/01/2024,40629746.66
25/01/2024,40582576.9
26/01/2024,40851008.61
27/01/2024,41338791.01
28/01/2024,42590411.02
29/01/2024,43751097.22
30/01/2024,46855000.46
31/01/2024,49084932.65
01/02/2024,49795076.99
02/02/2024,51262769.94
03/02/2024,52842334.27
04/02/2024,53857786.77
05/02/2024,54335973.12
06/02/2024,54435235.93
07/02/2024,54546466.0
08/02/2024,55900190.58
09/02/2024,56891154.45
10/02/2024,58673667.59
11/02/2024,60175673.44
12/02/2024,61163580.87
13/02/2024,62882857.62
14/02/2024,64325918.48
15/02/2024,64910582.33
16/02/2024,65785964.28
17/02/2024,66969953.05
18/02/2024,69730108.2
19/02/2024,71018911.06
20/02/2024,72141564.34
21/02/2024,72769980.59
22/02/2024,73465373.4
23/02/2024,73325381.53
24/02/2024,73593191.31
25/02/2024,74175837.75
26/02/2024,75172551.67
27/02/2024,92356897.41
28/02/2024,103246679.5
29/02/2024,111245831.8
01/03/2024,119343505.3
02/03/2024,126430561.0
03/03/2024,132487909.7
04/03/2024,136639444.2
05/03/2024,138749018.2
06/03/2024,140986009.3
07/03/2024,135070696.2
08/03/2024,137694290.9
09/03/2024,140787792.9
10/03/2024,144802989.7
11/03/2024,148103728.2
12/03/2024,150085460.1
13/03/2024,152201413.7
14/03/2024,156819871.0
15/03/2024,159120730.4
16/03/2024,159881930.0
17/03/2024,160613656.3
18/03/2024,162138430.7
19/03/2024,164845845.5
20/03/2024,167008821.9
21/03/2024,167931310.0
22/03/2024,168656216.4
23/03/2024,170268556.8
24/03/2024,173444734.6
25/03/2024,174344316.4
26/03/2024,176371758.4
27/03/2024,178636681.3
28/03/2024,181713206.3
29/03/2024,183792730.4
