Date,TVL
19/12/2023,2574675.775
20/12/2023,2973179.821
21/12/2023,3216457.593
22/12/2023,3560285.883
23/12/2023,3809761.201
24/12/2023,3966386.819
25/12/2023,4711421.776
26/12/2023,7012238.713
27/12/2023,7446262.931
28/12/2023,8331725.393
29/12/2023,9812360.322
30/12/2023,9801613.421
31/12/2023,9881856.446
01/01/2024,9871741.393
02/01/2024,10544755.71
03/01/2024,12298361.47
04/01/2024,11686075.96
05/01/2024,15275418.38
06/01/2024,17729928.71
07/01/2024,18723364.13
08/01/2024,19098606.8
09/01/2024,22373685.42
10/01/2024,24157310.9
11/01/2024,28303341.72
12/01/2024,30979107.92
13/01/2024,31816469.3
14/01/2024,33244601.91
15/01/2024,34270919.05
16/01/2024,37154380.94
17/01/2024,77303431.44
18/01/2024,85507432.19
19/01/2024,96073686.54
20/01/2024,101432719.0
21/01/2024,103962302.7
22/01/2024,125400400.4
23/01/2024,120220477.7
24/01/2024,118414589.7
25/01/2024,121487881.3
26/01/2024,123948564.6
27/01/2024,135913677.6
28/01/2024,139179430.2
29/01/2024,145180043.1
30/01/2024,153892886.8
31/01/2024,159947285.3
01/02/2024,164432157.1
02/02/2024,169861038.4
03/02/2024,176257084.6
04/02/2024,178726989.9
05/02/2024,184764116.1
06/02/2024,201841088.5
07/02/2024,220020001.4
08/02/2024,241584736.1
09/02/2024,249831682.0
10/02/2024,260633548.3
11/02/2024,263543812.1
12/02/2024,268479397.4
13/02/2024,291541925.7
14/02/2024,294995637.5
15/02/2024,319481154.8
16/02/2024,324175953.0
17/02/2024,323406544.4
18/02/2024,322481859.1
19/02/2024,339053352.1
20/02/2024,357524726.1
21/02/2024,370724629.6
22/02/2024,367168117.9
23/02/2024,392172801.9
24/02/2024,419321966.1
25/02/2024,452939081.5
26/02/2024,498662185.1
27/02/2024,557775588.6
28/02/2024,614247704.2
29/02/2024,652700321.5
01/03/2024,661631514.0
02/03/2024,699505695.1
03/03/2024,713487736.4
04/03/2024,737479120.0
05/03/2024,782551869.5
06/03/2024,774646773.2
07/03/2024,860234509.5
08/03/2024,869451593.4
09/03/2024,897452647.2
10/03/2024,914693932.5
11/03/2024,914643884.7
12/03/2024,968067175.5
13/03/2024,957694672.5
14/03/2024,983100919.1
15/03/2024,1015744920.0
16/03/2024,1000272697.0
17/03/2024,960982604.4
18/03/2024,1014161478.0
19/03/2024,1040891904.0
20/03/2024,1013293591.0
21/03/2024,1210623371.0
22/03/2024,1285821364.0
23/03/2024,1277305900.0
24/03/2024,1345778797.0
25/03/2024,1426293866.0
26/03/2024,1556715850.0
27/03/2024,1721005888.0
28/03/2024,1799298827.0
29/03/2024,1898977538.0
30/03/2024,1951524615.0
31/03/2024,2082898533.0
01/04/2024,2248689056.0
02/04/2024,2234774107.0
03/04/2024,2202151026.0
04/04/2024,2322515596.0
05/04/2024,2387886311.0
06/04/2024,2461067230.0
07/04/2024,2521002673.0
08/04/2024,2651882816.0
09/04/2024,3001217641.0
10/04/2024,2960539725.0
11/04/2024,3053365988.0
12/04/2024,3149509833.0
13/04/2024,2949420942.0
14/04/2024,2666003008.0
15/04/2024,2933980258.0
16/04/2024,2969972217.0
17/04/2024,3015964218.0
18/04/2024,2976018660.0
19/04/2024,3084541613.0
20/04/2024,3130859906.0
21/04/2024,3220991337.0
22/04/2024,3245718538.0
23/04/2024,3325599953.0
24/04/2024,3373798770.0
25/04/2024,3155839146.0
26/04/2024,3249132612.0
27/04/2024,3238941111.0
28/04/2024,3334054416.0
29/04/2024,3429486904.0
30/04/2024,3306710558.0
01/05/2024,3090091102.0
02/05/2024,3046195747.0
03/05/2024,3098581069.0
04/05/2024,3222714415.0
05/05/2024,3216143752.0
06/05/2024,3237704761.0
07/05/2024,3201051088.0
08/05/2024,3144652492.0
09/05/2024,3068340628.0
10/05/2024,3118321741.0
11/05/2024,3006754543.0
12/05/2024,3011710541.0
13/05/2024,3024398226.0
14/05/2024,3048140781.0
15/05/2024,2984942830.0
16/05/2024,3120053230.0
17/05/2024,3026250440.0
18/05/2024,3193792575.0
19/05/2024,3221919203.0
20/05/2024,3193140103.0
21/05/2024,3776708697.0
