Date,TVL
05/06/2022,15071392.1
06/06/2022,15047339.7
07/06/2022,15631414.92
08/06/2022,15423641.54
09/06/2022,15190497.91
10/06/2022,15307229.71
11/06/2022,14837827.44
12/06/2022,14162721.13
13/06/2022,13276555.18
14/06/2022,12421406.42
15/06/2022,12638463.15
16/06/2022,13737598.11
17/06/2022,12530468.06
18/06/2022,12804343.94
19/06/2022,12744506.68
20/06/2022,13243479.29
21/06/2022,13507893.12
22/06/2022,13682985.72
23/06/2022,13309940.09
24/06/2022,14114999.16
25/06/2022,14756809.26
26/06/2022,14785810.94
27/06/2022,14295626.51
28/06/2022,14063400.56
29/06/2022,13571063.39
30/06/2022,13190079.06
01/07/2022,12122252.69
02/07/2022,11834159.88
03/07/2022,11814327.42
04/07/2022,11887624.75
05/07/2022,12516893.34
06/07/2022,12466731.13
07/07/2022,12729721.89
08/07/2022,13068253.89
09/07/2022,13064356.69
10/07/2022,12983613.87
11/07/2022,12655813.19
12/07/2022,12235070.32
13/07/2022,12015767.22
14/07/2022,12454002.74
15/07/2022,12858689.14
16/07/2022,12837453.84
17/07/2022,13660256.11
18/07/2022,13396297.93
19/07/2022,14613452.38
20/07/2022,14821546.99
21/07/2022,14376657.76
22/07/2022,14585009.67
23/07/2022,14042785.69
24/07/2022,13808312.97
25/07/2022,13836757.59
26/07/2022,13382384.26
27/07/2022,12757678.8
28/07/2022,13780693.43
29/07/2022,14300073.0
30/07/2022,14140271.73
31/07/2022,14600759.73
01/08/2022,14330543.73
02/08/2022,14156570.73
03/08/2022,13455178.51
04/08/2022,13679223.63
05/08/2022,13648527.86
06/08/2022,13980260.17
07/08/2022,13380924.59
08/08/2022,13593398.66
09/08/2022,13941423.86
10/08/2022,13439377.3
11/08/2022,14212953.45
12/08/2022,14280109.2
13/08/2022,12578670.47
14/08/2022,12576504.39
15/08/2022,12367031.29
16/08/2022,12053997.77
17/08/2022,12049351.79
18/08/2022,11523071.1
19/08/2022,11127583.82
20/08/2022,10600655.68
21/08/2022,10403452.39
22/08/2022,10611216.89
23/08/2022,10409617.53
24/08/2022,10394673.43
25/08/2022,10442101.1
26/08/2022,10394439.48
27/08/2022,9759844.553
28/08/2022,9701394.995
29/08/2022,9442896.951
30/08/2022,9825206.346
31/08/2022,9739557.393
01/09/2022,9661924.541
02/09/2022,9681230.045
03/09/2022,9650786.75
04/09/2022,9611340.441
05/09/2022,9790572.339
06/09/2022,9978707.373
07/09/2022,9493178.958
08/09/2022,9775854.206
09/09/2022,10046692.65
10/09/2022,10312276.84
11/09/2022,10408562.84
12/09/2022,10358012.05
13/09/2022,10796707.01
14/09/2022,9945712.888
15/09/2022,10066028.34
16/09/2022,9873836.016
17/09/2022,11682359.8
18/09/2022,11876514.4
19/09/2022,11395431.83
20/09/2022,11652116.48
21/09/2022,11424393.4
