Date,TVL
17/11/2021,215972.3342
18/11/2021,2378479.291
19/11/2021,2689512.204
20/11/2021,2389774.463
21/11/2021,1390609.929
22/11/2021,758645.9147
23/11/2021,725998.4802
24/11/2021,762911.15
25/11/2021,726073.2321
26/11/2021,671571.7665
27/11/2021,597191.4809
28/11/2021,537012.4725
29/11/2021,494238.8945
30/11/2021,422386.0544
01/12/2021,411875.2252
02/12/2021,401697.5172
03/12/2021,147555.9481
04/12/2021,140026.8476
05/12/2021,91810.99738
06/12/2021,88483.41694
07/12/2021,90065.96944
08/12/2021,68810.26688
09/12/2021,61085.99033
10/12/2021,58709.66028
11/12/2021,50949.60773
12/12/2021,52484.19275
13/12/2021,41780.49883
14/12/2021,38914.80339
15/12/2021,29523.37608
16/12/2021,30534.67097
17/12/2021,35644.9463
18/12/2021,34528.19482
19/12/2021,35796.88347
20/12/2021,35778.22224
21/12/2021,35588.77763
22/12/2021,36199.49827
23/12/2021,38568.86451
24/12/2021,39302.09112
25/12/2021,41422.16281
26/12/2021,35543.89387
27/12/2021,14607.10365
28/12/2021,10741.82694
29/12/2021,6300.708192
30/12/2021,6079.311988
31/12/2021,4371.398309
01/01/2022,4294.758879
02/01/2022,4440.709836
03/01/2022,4470.91558
04/01/2022,4350.363468
05/01/2022,4250.420596
06/01/2022,3949.347823
07/01/2022,3917.520624
08/01/2022,3601.058966
09/01/2022,3534.354406
10/01/2022,3576.980248
11/01/2022,3486.700911
12/01/2022,3594.465772
13/01/2022,3762.445747
14/01/2022,3585.82396
15/01/2022,3585.086508
16/01/2022,3643.371885
17/01/2022,3623.844784
18/01/2022,3507.47969
19/01/2022,3503.474563
20/01/2022,3421.100422
21/01/2022,3417.78051
22/01/2022,2926.170453
23/01/2022,2762.259748
24/01/2022,2993.066735
25/01/2022,2975.161457
26/01/2022,3087.423017
27/01/2022,3115.957855
28/01/2022,3097.962131
29/01/2022,3262.339637
30/01/2022,3322.271973
31/01/2022,3282.519016
01/02/2022,3327.428955
02/02/2022,3381.130277
03/02/2022,3166.571054
04/02/2022,3151.947067
05/02/2022,3441.129302
06/02/2022,3491.476348
07/02/2022,3576.239577
08/02/2022,3780.373462
09/02/2022,3744.271371
10/02/2022,3902.580343
11/02/2022,3851.190465
12/02/2022,3656.405746
13/02/2022,3692.204946
14/02/2022,3771.766726
15/02/2022,3626.872341
16/02/2022,3779.432681
17/02/2022,3697.089017
18/02/2022,3375.442764
19/02/2022,3377.88484
20/02/2022,3385.900627
21/02/2022,3185.029963
22/02/2022,3054.231015
23/02/2022,3186.251287
24/02/2022,3146.604792
25/02/2022,3123.185274
26/02/2022,3280.492796
27/02/2022,3254.043456
28/02/2022,3127.063113
01/03/2022,3459.196425
02/03/2022,3473.679412
03/03/2022,3505.647328
04/03/2022,3390.796445
05/03/2022,3147.595277
06/03/2022,3223.460456
07/03/2022,3106.247048
08/03/2022,3021.806722
09/03/2022,3081.482865
10/03/2022,3263.917807
11/03/2022,3115.554493
12/03/2022,3061.572002
13/03/2022,3097.205785
14/03/2022,3022.457402
15/03/2022,3054.591687
16/03/2022,3086.59047
17/03/2022,3241.435624
18/03/2022,3229.051698
19/03/2022,3269.665376
20/03/2022,3326.061924
21/03/2022,3244.938333
22/03/2022,3247.714135
23/03/2022,3332.792797
24/03/2022,3436.440585
25/03/2022,3531.47496
26/03/2022,3578.546066
27/03/2022,3590.451618
