Date,TVL
04/03/2024,430324448.7
05/03/2024,431570332.0
06/03/2024,444057751.8
07/03/2024,492304433.1
08/03/2024,521287100.8
09/03/2024,568223406.3
10/03/2024,584606821.4
11/03/2024,586545254.8
12/03/2024,620064716.7
13/03/2024,619433947.0
14/03/2024,634798186.6
15/03/2024,634210419.0
16/03/2024,610047340.6
17/03/2024,586332496.1
18/03/2024,610613645.0
19/03/2024,621679746.3
20/03/2024,575034195.9
21/03/2024,656702625.2
22/03/2024,690872947.8
23/03/2024,666131063.2
24/03/2024,691677179.1
25/03/2024,739250870.1
26/03/2024,782491484.2
27/03/2024,814169619.1
28/03/2024,828613727.8
29/03/2024,899070401.4
30/03/2024,979747803.7
31/03/2024,1043133216.0
01/04/2024,1119305515.0
02/04/2024,1119101431.0
03/04/2024,1076963169.0
04/04/2024,1215605143.0
05/04/2024,1263432205.0
06/04/2024,1377383156.0
07/04/2024,1465350236.0
08/04/2024,1569111565.0
09/04/2024,1769177873.0
10/04/2024,1774587697.0
11/04/2024,1849124485.0
12/04/2024,1876293364.0
13/04/2024,1746535613.0
14/04/2024,1602493935.0
15/04/2024,1696982451.0
16/04/2024,1694710782.0
17/04/2024,1721169767.0
18/04/2024,1718157666.0
19/04/2024,1780668850.0
20/04/2024,1827553774.0
21/04/2024,1856119153.0
22/04/2024,1909542978.0
23/04/2024,2021459938.0
24/04/2024,2044301225.0
25/04/2024,2061114168.0
26/04/2024,2410055367.0
27/04/2024,2613658483.0
28/04/2024,2720847742.0
29/04/2024,2818887625.0
30/04/2024,2744382650.0
01/05/2024,2600181125.0
02/05/2024,2611435496.0
03/05/2024,2916654104.0
04/05/2024,3084331936.0
05/05/2024,3090839050.0
06/05/2024,3100624261.0
07/05/2024,3253372313.0
08/05/2024,3143090820.0
09/05/2024,3117760284.0
10/05/2024,3158890033.0
11/05/2024,3059492385.0
12/05/2024,3010176672.0
13/05/2024,2986810833.0
14/05/2024,2971938437.0
15/05/2024,2926308612.0
16/05/2024,3048510851.0
17/05/2024,2967373032.0
18/05/2024,3084615712.0
19/05/2024,3119131139.0
20/05/2024,3084255160.0
21/05/2024,3617249598.0
22/05/2024,3684025581.0
23/05/2024,3642341590.0
24/05/2024,3632579255.0
25/05/2024,3548525573.0
26/05/2024,3544692862.0
27/05/2024,3651736660.0
28/05/2024,3705959193.0
29/05/2024,3682068003.0
30/05/2024,3602220145.0
31/05/2024,3564701491.0
01/06/2024,3583037742.0
02/06/2024,3599492244.0
03/06/2024,3568473157.0
04/06/2024,3561449719.0
05/06/2024,3592095869.0
06/06/2024,3607439015.0
07/06/2024,3569783466.0
08/06/2024,3445008699.0
09/06/2024,3435391081.0
10/06/2024,3472916521.0
11/06/2024,3434131243.0
12/06/2024,3285799082.0
13/06/2024,3384897047.0
14/06/2024,3329218097.0
15/06/2024,3331333060.0
16/06/2024,3391498760.0
17/06/2024,3440943557.0
18/06/2024,3379079811.0
19/06/2024,3322293527.0
20/06/2024,3387335283.0
21/06/2024,3338436707.0
22/06/2024,3315394282.0
23/06/2024,3277181032.0
24/06/2024,3202586480.0
25/06/2024,3059466763.0
26/06/2024,3092835363.0
27/06/2024,3040572808.0
28/06/2024,2706215011.0
29/06/2024,2557775990.0
30/06/2024,2530003180.0
01/07/2024,2553202259.0
02/07/2024,2557392418.0
03/07/2024,2547480266.0
04/07/2024,2401398676.0
05/07/2024,2288855496.0
06/07/2024,2135017575.0
07/07/2024,2174092120.0
08/07/2024,2089070652.0
09/07/2024,2109275745.0
10/07/2024,2045068786.0
11/07/2024,1989298373.0
12/07/2024,1979061448.0
13/07/2024,1984104116.0
14/07/2024,2005231134.0
15/07/2024,2067992663.0
16/07/2024,2176153408.0
17/07/2024,2177336936.0
18/07/2024,2153411343.0
19/07/2024,2137775867.0
20/07/2024,2201637179.0
21/07/2024,2940524049.0
22/07/2024,2929274115.0
23/07/2024,2890365369.0
24/07/2024,2916426883.0
25/07/2024,2826564640.0
26/07/2024,2699460775.0
27/07/2024,2784243044.0
28/07/2024,2786857428.0
29/07/2024,2786498207.0
30/07/2024,2868803224.0
31/07/2024,2812402468.0
01/08/2024,2782486462.0
02/08/2024,2708351605.0
03/08/2024,2571092690.0
04/08/2024,2457349820.0
05/08/2024,2292328622.0
06/08/2024,1967013507.0
07/08/2024,2012225901.0
08/08/2024,1895253541.0
09/08/2024,2075324839.0
10/08/2024,2085160248.0
11/08/2024,2095706758.0
12/08/2024,2045396946.0
13/08/2024,2139993465.0
14/08/2024,2163831338.0
15/08/2024,2115670528.0
16/08/2024,1999256894.0
17/08/2024,2052527930.0
18/08/2024,2059660006.0
19/08/2024,2088319387.0
20/08/2024,2082829082.0
21/08/2024,2064293239.0
22/08/2024,2108125293.0
23/08/2024,2042161324.0
24/08/2024,2096060341.0
25/08/2024,2083327113.0
26/08/2024,2098095320.0
27/08/2024,2023567652.0
28/08/2024,1866907406.0
29/08/2024,1922780395.0
30/08/2024,1925166214.0
31/08/2024,1916721194.0
01/09/2024,1915021219.0
02/09/2024,1886126743.0
03/09/2024,1929334625.0
04/09/2024,1866214902.0
05/09/2024,1885417510.0
06/09/2024,1810990168.0
07/09/2024,1677734081.0
