Date,TVL
25/03/2023,560174.5271
26/03/2023,2289009.471
27/03/2023,5826839.756
28/03/2023,9928643.226
29/03/2023,17069920.05
30/03/2023,22391196.39
31/03/2023,27248257.29
01/04/2023,35275356.53
02/04/2023,39156125.49
03/04/2023,43817283.99
04/04/2023,49187789.55
05/04/2023,53773584.52
06/04/2023,58604094.24
07/04/2023,66013675.5
08/04/2023,73270550.35
09/04/2023,79117361.75
10/04/2023,89215988.12
11/04/2023,101550204.0
12/04/2023,110161266.5
13/04/2023,115391109.2
14/04/2023,121069023.5
15/04/2023,121233510.0
16/04/2023,121722377.6
17/04/2023,122937786.4
18/04/2023,121950610.5
19/04/2023,119494313.5
20/04/2023,119514961.6
21/04/2023,107897918.7
22/04/2023,103029474.5
23/04/2023,100645645.8
24/04/2023,106834101.5
25/04/2023,112828510.0
26/04/2023,119942064.0
27/04/2023,123086324.1
28/04/2023,126056418.1
29/04/2023,128302023.9
30/04/2023,130647166.7
01/05/2023,130722527.0
02/05/2023,127189924.5
03/05/2023,119654930.4
04/05/2023,115187348.9
05/05/2023,112283668.9
06/05/2023,112267681.9
07/05/2023,106694829.5
08/05/2023,101230860.9
09/05/2023,100182015.5
10/05/2023,99242199.03
11/05/2023,100850966.5
12/05/2023,98164562.33
13/05/2023,97516224.23
14/05/2023,98887398.15
15/05/2023,105443371.7
16/05/2023,106946899.2
17/05/2023,108506451.1
18/05/2023,112060895.7
19/05/2023,113989199.9
20/05/2023,115300380.3
21/05/2023,115250560.8
22/05/2023,118610744.0
23/05/2023,120036186.4
24/05/2023,122572646.1
25/05/2023,120692826.7
26/05/2023,122695719.5
27/05/2023,127229028.5
28/05/2023,131102748.3
29/05/2023,134465111.6
30/05/2023,142293711.8
31/05/2023,144351322.1
01/06/2023,143613176.1
02/06/2023,148151942.3
03/06/2023,153752462.3
04/06/2023,154074877.5
05/06/2023,130677676.7
06/06/2023,129805224.1
07/06/2023,134129802.4
08/06/2023,160182167.7
09/06/2023,161290433.2
10/06/2023,161993761.0
11/06/2023,159160102.9
12/06/2023,160549162.9
13/06/2023,161020853.8
14/06/2023,163404931.1
15/06/2023,160392641.9
16/06/2023,155684293.0
17/06/2023,155794322.4
18/06/2023,156777632.9
19/06/2023,154797504.6
20/06/2023,156901111.9
21/06/2023,160384515.0
22/06/2023,165376308.6
23/06/2023,166255470.4
24/06/2023,167295077.8
25/06/2023,170587409.5
26/06/2023,172936161.6
27/06/2023,174530319.3
28/06/2023,176545636.9
29/06/2023,177185732.1
30/06/2023,180613915.2
01/07/2023,183403266.7
02/07/2023,186892262.4
03/07/2023,189600610.6
04/07/2023,191348720.0
05/07/2023,191379842.9
06/07/2023,189869625.0
07/07/2023,187340515.6
08/07/2023,189084214.0
09/07/2023,191498755.4
10/07/2023,193115164.6
11/07/2023,188523984.5
12/07/2023,190725808.4
13/07/2023,190519862.4
14/07/2023,196551084.9
15/07/2023,193423959.3
16/07/2023,195355245.4
17/07/2023,196390624.0
18/07/2023,193690088.4
19/07/2023,183312971.2
20/07/2023,191864994.0
21/07/2023,191801008.4
22/07/2023,190233476.1
23/07/2023,189170747.4
24/07/2023,189179631.3
25/07/2023,189479130.8
26/07/2023,168979222.1
27/07/2023,166345049.9
28/07/2023,163282674.4
29/07/2023,164822405.9
30/07/2023,155082881.8
31/07/2023,152111062.7
01/08/2023,149511067.7
02/08/2023,148436899.7
03/08/2023,148109663.2
04/08/2023,148796696.3
05/08/2023,143812924.0
06/08/2023,145523773.4
07/08/2023,144406585.0
08/08/2023,144832427.7
09/08/2023,146968252.8
10/08/2023,146907767.5
11/08/2023,144240227.3
12/08/2023,143575137.9
13/08/2023,143977015.6
14/08/2023,142930098.7
15/08/2023,142924969.2
16/08/2023,140979581.5
17/08/2023,138194031.6
18/08/2023,131423909.0
19/08/2023,129220627.8
20/08/2023,128159801.7
21/08/2023,128468306.4
22/08/2023,127932323.7
23/08/2023,126374059.5
24/08/2023,124946557.4
25/08/2023,123108661.8
26/08/2023,122960168.2
27/08/2023,123266316.3
28/08/2023,123889070.2
29/08/2023,120054802.6
30/08/2023,122545734.0
