protocol,Durbin-Watson statistic,Autocorrelation,S&P 500 coefficient,S&P 500 p-value,Fear and Greed Index DW,Market Cap DW
Starknet,0.4767647340174237,Positive,234554.99683262818,0.5708263256519508,0.784262005981105,0.1536025803148574
Taiko,0.7436974223400756,Positive,1377.6982404517848,0.7438976456012811,0.20493306185368795,0.14974110798106752
zeta,0.969583655323962,Positive,-89.22406838179904,0.8847922258208705,0.1905568893697664,0.15165815239082878
ethena,0.7261242341468755,Positive,-783949.1260904814,0.00738506719764836,0.9302887719807849,0.3630041500379378
zeus,0.0008620979824182691,Positive,-8.34783397962724e-09,0.9996903862779138,0.9856221851468777,0.39252505357124967
renzo,1.4496119099082685,Positive,550083.6315770497,0.15292815720944014,0.7307040093742226,0.4425086082812405
eigenlayer,1.3595619758841335,Positive,-7646832.965683455,1.242416666854867e-05,0.5357781099560424,0.20395378292763236
wormhole,0.0010824125449994295,Positive,-0.009286188811529428,0.9996659692325394,0.8217754923226357,0.374314076232251
kamino,0.9731426666415574,Positive,81354.1209240579,0.6625833634842215,0.9856221851468777,0.39252505357124967
Manta,0.2682474357081149,Positive,-238501.74650478346,0.026551382687761103,0.9579184870176704,0.39027343194974784
nftperp,0.44860979763118775,Positive,1401.107568425467,0.4369876344276903,0.19858278188358772,0.15555553469202224
parcl,0.9165769802236806,Positive,214695.719301801,7.432047308642064e-09,0.924860848985437,0.5334081365312302
ekubo,0.9289303778716458,Positive,27690.255211556505,0.00030951743147087664,0.4998536337260385,0.14678741911035884
Arbitrum,0.8956731711738112,Positive,741160.9675012281,0.4829001839627134,0.4179815722739573,0.30084981592155524
Optimism,1.0639348495145555,Positive,52800.86411832378,0.5630189063661691,0.6927895997272909,0.2425840207575722
etherfi,0.6651677993758975,Positive,-1851347.3475388233,0.020263616021167233,0.9538215961583442,0.18706361280328412
Sei,0.6107731380008017,Positive,-26869.905705300473,0.06212256672787963,0.20444126818392458,0.16257078029608207
zkSync,0.9172594603468108,Positive,-46656.20598446256,0.019952508514105297,0.37790042870271073,0.34909633930428674
hydro,0.9771818419115157,Positive,21383.39518035418,0.142562736403414,0.8169359544670409,0.17783823902099852
zircuit,0.7082369949468577,Positive,17560.07166257105,0.9607221006895739,0.21743902450043073,0.1621795844596526
drift,0.3109557238555195,Positive,207076.65318683267,0.06583136841074402,0.10482887104718146,0.10761363093977781
cellana,0.5275577921528096,Positive,-27026.569994740526,0.14817653039884152,0.6439442956116391,0.2462509360221814
Mode,0.9808706066519538,Positive,252376.75612606143,5.482005726925126e-05,0.49129301657382657,0.1658965722975674
