protocol,α0 (Intercept),α1 (T),α2 (X),α3 (X_T),α4 (t),α5 (t_X),δ1 (MCt),δ2 (Fear_Greed_Index),δ3 (S&P 500),p_value (X),p_value (X_T),p_value (MCt),p_value (Fear_Greed_Index),p_value (S&P 500),ARIMA_AR,ARIMA_MA,airdrop_date
Starknet,-0.032533784540235366,0.5073282749056727,-0.002689854088571704,0.07361890086593492,-0.501219045843067,-0.009766575880224962,-2.9100068715790988,0.012303527718901974,13.521075779149356,0.03052702581828822,0.019537654462659454,0.0552243176665447,0.5370315229261649,0.2145278975357381,0.7074341696136666,0.08307703836086809,2024-02-20
Taiko,0.027309329402576576,-0.41155123056064724,0.00032352911017731814,-0.015383010383346107,0.4350379809191409,-0.005353607971062824,-0.21927003567463998,0.002951293379064024,1.070074714500663,0.48597215329187227,0.20796443408764695,0.8006857012799451,0.2687008004721692,0.6837567118249648,0.6163661370248387,0.021318908200974103,2024-07-05
zeta,0.028559610367568045,-0.4459622250630133,1.3939861610108486e-05,-0.00047916987086028123,0.4393856963316267,-4.703416133094995e-05,0.11588545485064827,-9.981538986325589e-05,-0.03928151163093929,0.5512046114334035,0.40578867285541587,0.10202855298410471,0.6696815638007293,0.8232934898787158,0.2905316266019756,0.3445731344876452,2024-06-27
ethena,0.07209507339682886,-1.1031752353784725,0.0011226293380364252,-0.028767860493986386,1.1317720399233941,0.006033648984768332,-0.0018894832742617496,0.0005174822311460603,-1.6263011281797617,1.501516772020787e-24,8.323623999349934e-23,0.9892799288950811,0.6722702190947947,0.005656525327530492,0.6232370009298446,0.10538042892368661,2024-04-02
zeus,0.014433931693334512,-0.22372594124669476,8.023096076392733e-17,-1.5265566588595902e-16,0.22372594124669565,-1.0408340855860843e-17,7.993605777301127e-14,-4.926614671774132e-16,3.907985046680551e-14,0.49464338417036646,0.9605416069773999,0.7753251230268267,0.8270543466682142,0.9694058653803117,0.0,0.26963305801819004,2024-04-04
renzo,-0.0735506677984008,1.1595534913962275,0.0014073634774941267,-0.04475230623189234,-1.1205172103539915,-0.0011240384314783816,1.2265416066183974,-0.0006884757346703463,2.567460966313952,5.79421183642436e-17,2.88780143263509e-19,6.81003616158914e-08,0.49161323020601566,0.0022756243379333805,0.7789325420222599,-0.5133845640901109,2024-04-20
eigenlayer,-0.0007371249345988762,0.015245104851198121,0.0001374493122774864,-0.0037544692085529907,-0.007605768121450751,0.0005064594716072193,1.4307206377241544,-0.0003421738945078995,-1.996536510146413,0.061048851188919555,0.06771340355113606,1.3977284446195032e-12,0.7319163766960284,0.00011263669914570126,0.48132150878963786,-0.21740346247624262,2024-04-29
wormhole,0.04415415498140235,-0.6843641494067763,2.6107587454762826e-09,-8.194159019370151e-08,0.6844146550167789,-1.0064440114643247e-09,2.3646309976754765e-07,2.276318022964574e-10,-3.1657782209038032e-06,8.988614068868034e-45,6.555591976776095e-48,0.08841033080027655,0.8390575213566613,7.639938370594543e-08,0.8594152282921426,0.10093155196129265,2024-04-03
kamino,-0.032976666825315526,0.5267837842858043,0.00030327266421734285,-0.019891506543343263,-0.4954928872990152,-0.010490053952148786,1.351209828606967,-0.0019262040600625668,-0.2295499038127815,0.013045726423697916,3.902678144499614e-08,1.3430066624836338e-05,0.4002282504893868,0.8239330462794274,0.6098394845341085,0.11723456495035733,2024-04-04
Manta,0.16340015459399204,-2.528387693403573,5.78213470336323e-05,0.03522322755123608,2.5370170990095318,0.03701568930589845,2.5573025503277194,0.002141383937696112,-15.844703339196656,0.8868882220247594,0.00181485803606549,0.016877525246358164,0.7333249222092242,0.00010866775585770005,0.7921239671091108,-0.08769765088377961,2023-12-19
