protocol,α0 (Intercept),α1 (T),α2 (X),α3 (X_T),α4 (t),α5 (t_X),δ1 (MCt),δ2 (Fear_Greed_Index),δ3 (S&P 500),p_value (X),p_value (X_T),p_value (MCt),p_value (Fear_Greed_Index),p_value (S&P 500),ARIMA_AR,ARIMA_MA,airdrop_date
Starknet,-0.032533785,0.507328275,-0.002689854,0.073618901,-0.501219046,-0.009766576,-2.910006872,0.012303528,13.52107578,0.030527026,0.019537654,0.055224318,0.537031523,0.214527898,0.70743417,0.083077038,2/20/24
Taiko,0.027309329,-0.411551231,0.000323529,-0.01538301,0.435037981,-0.005353608,-0.219270036,0.002951293,1.070074715,0.485972153,0.207964434,0.800685701,0.2687008,0.683756712,0.616366137,0.021318908,7/5/24
zeta,0.02855961,-0.445962225,1.39E-05,-0.00047917,0.439385696,-4.70E-05,0.115885455,-9.98E-05,-0.039281512,0.551204611,0.405788673,0.102028553,0.669681564,0.82329349,0.290531627,0.344573134,6/27/24
ethena,0.072095073,-1.103175235,0.001122629,-0.02876786,1.13177204,0.006033649,-0.001889483,0.000517482,-1.626301128,1.50E-24,8.32E-23,0.989279929,0.672270219,0.005656525,0.623237001,0.105380429,4/2/24
zeus,0.014433932,-0.223725941,8.02E-17,-1.53E-16,0.223725941,-1.04E-17,7.99E-14,-4.93E-16,3.91E-14,0.494643384,0.960541607,0.775325123,0.827054347,0.969405865,0,0.269633058,4/4/24
renzo,-0.073550668,1.159553491,0.001407363,-0.044752306,-1.12051721,-0.001124038,1.226541607,-0.000688476,2.567460966,5.79E-17,2.89E-19,6.81E-08,0.49161323,0.002275624,0.778932542,-0.513384564,4/20/24
eigenlayer,-0.000737125,0.015245105,0.000137449,-0.003754469,-0.007605768,0.000506459,1.430720638,-0.000342174,-1.99653651,0.061048851,0.067713404,1.40E-12,0.731916377,0.000112637,0.481321509,-0.217403462,4/29/24
wormhole,0.044154155,-0.684364149,2.61E-09,-8.19E-08,0.684414655,-1.01E-09,2.36E-07,2.28E-10,-3.17E-06,8.99E-45,6.56E-48,0.088410331,0.839057521,7.64E-08,0.859415228,0.100931552,4/3/24
kamino,-0.032976667,0.526783784,0.000303273,-0.019891507,-0.495492887,-0.010490054,1.351209829,-0.001926204,-0.229549904,0.013045726,3.90E-08,1.34E-05,0.40022825,0.823933046,0.609839485,0.117234565,4/4/24
Manta,0.163400155,-2.528387693,5.78E-05,0.035223228,2.537017099,0.037015689,2.55730255,0.002141384,-15.84470334,0.886888222,0.001814858,0.016877525,0.733324922,0.000108668,0.792123967,-0.087697651,12/19/23
nftperp,-0.043805168,0.664319983,-0.001386971,0.032463367,-0.693640224,-0.010532724,0.972909862,-0.000745017,0.992673093,8.06E-08,1.66E-07,0.175679528,0.752845073,0.583813367,0.697029217,0.071180184,6/26/24
parcl,-0.118373664,1.834894524,0.000266247,-0.020262308,-1.834689052,-0.012008661,0.203045688,-0.00313262,8.226368134,0.197790744,0.00012309,0.534225795,0.106001855,7.01E-09,0.409031542,0.336134178,4/16/24
ekubo,-0.088173307,1.365159107,-0.000131789,0.001835589,-1.368213403,-0.002249856,1.383749013,-0.001747533,2.43883971,0.165767213,0.449863572,8.66E-08,0.147917165,0.000182398,0.676961922,-0.211044155,5/8/24
Arbitrum,0.003697571,-0.055998964,7.57E-05,-0.001941724,0.058625747,0.000405885,0.207360489,-0.001242117,1.674143551,0.760641201,0.778050772,0.782609559,0.822778873,0.423306856,0.230812238,0.400408989,3/23/23
Optimism,-0.005472071,0.081943504,8.23E-05,-8.93E-06,-0.087690708,0.002541144,0.647876381,0.00161927,0.561439023,0.018135305,0.992425512,2.00E-14,0.052929878,0.215557556,0.423587128,-0.006075421,2/20/24
etherfi,0.110915608,-1.710841301,0.000177657,-0.007838744,1.727542542,-0.002331375,-0.541938774,-0.000306321,-1.876288122,0.061974356,0.002881684,0.003152025,0.877181511,0.014165309,0.576976207,0.181666,3/18/24
Sei,0.016815207,-0.239025536,0.001838534,-0.054098118,0.282245873,0.002896437,1.358028574,0.001751384,-3.394061821,2.33E-16,1.20E-17,2.33E-05,0.082476132,0.000574933,0.694842797,0.121611171,7/9/24
zkSync,0.011034454,-0.173301469,0.000184867,-0.002928958,0.168766593,0.002801932,0.991591745,-8.76E-05,-1.729063822,2.20E-05,0.003193137,4.84E-07,0.883222861,0.012093848,0.576393597,-0.132607086,6/17/24
hydro,-0.045881447,0.706894488,-0.000430917,0.011585745,-0.715430379,-0.00177267,0.83057244,0.001190211,1.909346035,0.001992506,0.001270645,0.000762515,0.620272853,0.081030023,0.412458438,0.149973477,3/19/24
zircuit,0.019311712,-0.295289443,0.000159489,-0.00944207,0.303373623,-0.004497914,0.466875523,0.002178874,-0.127320648,0.202826897,0.00636397,0.237242323,0.060672588,0.833893931,0.716762405,-0.111353135,8/5/24
drift,0.101517658,-1.564570009,-0.000602897,0.006594401,1.582477395,-0.012095395,-2.426327234,0.015140595,4.5365538,0.00028478,0.21517541,1.31E-06,1.52E-16,0.002309985,0.818454712,0.175275577,5/1/24
cellana,0.339843784,-5.190018698,-0.007207196,0.104780969,5.345138617,-0.118642099,-1.379476015,-0.004341181,-12.71421299,1.60E-26,5.19E-17,0.031737404,0.513880314,0.001520345,0.714465617,0.002546466,2/29/24
Mode,-0.051927763,0.826226873,0.0010852,-0.037755367,-0.783533769,-0.004114183,0.804178648,0.003564305,2.492387638,1.04E-14,4.82E-20,0.002740997,0.013029086,0.000455148,0.250560571,0.221067311,5/7/24
,,,-0.0027,,,,,,,,,,,,,,
